,current_price,avg_1Y_change,expected_current_1Y_price,avg_6M_change,expected_current_6M_price,avg_3M_change,expected_current_3M_price
Apple,148.85,%51.04,167.96,%25.15,164.52,%14.63,167.2
Intel,47.89,%3.43,45.77,%0.85,58.02,%-0.52,53.44
Booking,"2,428.09",%43.68,2306.14,%18.15,2913.67,%9.23,2379.31
Google,"2,924.35",%76.66,2668.98,%31.71,3099.79,%14.98,3098.17
Microsoft,323.17,%40.37,284.5,%18.67,299.26,%10.45,314.68
Square,253.02,%148.62,415.52,%64.45,402.61,%32.07,326.56
Shopify,"1,361.12",%69.5,1740.27,%33.23,1575.46,%21.16,1817.32
Tesla,"1,037.86",%216.32,1284.32,%93.01,1369.29,%43.29,984.69
Dell,108.39,%90.19,115.45,%37.46,135.16,%18.05,114.06
AMD,122.28,%46.07,111.6,%26.49,103.24,%16.33,123.53
Netflix,662.92,%18.19,574.69,%9.41,561.79,%7.11,554.37
Nvidia,244.51,%85.8,234.61,%42.39,213.73,%22.18,238.24
Paypal,234.94,%72.38,331.5,%31.37,344.57,%16.87,322.01
Salesforce,295.15,%25.86,300.09,%17.16,269.84,%10.55,267.45
