Date,Open,High,Low,Close,Volume
10/25/2019,"31.90","32.86","31.83","32.71","45,368,840"
10/24/2019,"31.58","31.86","31.34","31.72","28,448,980"
10/23/2019,"31.09","31.65","30.83","31.36","26,858,109"
10/22/2019,"32.06","32.15","31.50","31.51","36,860,312"
10/21/2019,"31.50","32.26","31.41","32.03","52,648,070"
10/18/2019,"31.06","31.33","30.29","30.97","39,711,238"
10/17/2019,"31.30","31.40","30.86","31.14","37,010,207"
10/16/2019,"30.60","31.41","30.53","30.81","43,064,262"
10/15/2019,"30.70","30.92","30.17","30.72","42,142,391"
10/14/2019,"29.71","30.61","29.38","30.53","44,818,230"
10/11/2019,"28.83","30.20","28.81","29.75","66,632,445"
10/10/2019,"28.52","28.89","28.00","28.38","41,172,000"
10/09/2019,"28.80","28.95","28.35","28.46","36,321,578"
10/08/2019,"28.55","28.64","27.92","28.23","44,432,078"
10/07/2019,"28.90","29.63","28.84","28.93","39,745,273"
10/04/2019,"28.83","29.06","28.57","29.01","34,609,207"
10/03/2019,"28.28","28.78","27.43","28.68","56,905,406"
10/02/2019,"28.50","28.85","28.03","28.31","44,048,754"
10/01/2019,"29.05","29.54","28.64","28.76","37,366,070"
09/30/2019,"28.89","29.05","28.36","28.99","40,332,047"
09/27/2019,"29.17","29.77","28.35","28.72","54,144,672"
09/26/2019,"29.67","29.77","29.00","29.47","41,182,230"
09/25/2019,"29.48","29.65","28.55","29.54","58,691,578"
09/24/2019,"30.54","30.75","29.29","29.52","73,220,945"
09/23/2019,"30.12","30.80","30.07","30.64","45,185,840"
09/20/2019,"30.36","30.47","29.65","30.05","83,555,562"
09/19/2019,"30.57","30.96","30.14","30.29","41,930,832"
09/18/2019,"30.75","30.89","29.88","30.42","47,277,312"
09/17/2019,"31.07","31.32","30.74","30.99","35,125,754"
09/16/2019,"30.37","31.15","30.26","30.83","52,248,539"
09/13/2019,"30.27","30.85","29.95","30.69","47,758,754"
09/12/2019,"30.08","30.84","29.95","30.21","53,618,340"
09/11/2019,"30.38","30.43","29.51","29.76","50,631,680"
09/10/2019,"30.22","30.38","29.77","30.23","48,604,770"
09/09/2019,"30.93","31.18","30.24","30.50","54,413,160"
09/06/2019,"31.50","31.51","30.48","30.56","51,672,980"
09/05/2019,"31.79","32.05","31.12","31.50","57,932,078"
09/04/2019,"31.32","31.83","30.85","30.95","46,709,781"
09/03/2019,"30.83","31.14","30.68","30.90","38,080,246"
