Date,Open,High,Low,Close,Volume
10/26/2018,"53.98","55.05","53.17","54.08","189,033,516"
10/25/2018,"54.43","55.35","54.19","54.95","119,423,080"
10/24/2018,"55.65","56.06","53.64","53.77","163,700,640"
10/23/2018,"53.96","55.81","53.68","55.68","155,071,392"
10/22/2018,"54.95","55.84","54.74","55.16","115,168,320"
10/19/2018,"54.52","55.32","54.36","54.83","132,314,920"
10/18/2018,"54.47","54.94","53.25","54.01","130,325,280"
10/17/2018,"55.58","55.66","54.84","55.30","91,541,600"
10/16/2018,"54.73","55.75","54.19","55.54","116,735,844"
10/15/2018,"55.29","55.46","54.32","54.34","123,164,040"
10/12/2018,"55.11","55.72","54.21","55.53","161,351,392"
10/11/2018,"53.63","54.88","53.08","53.61","212,497,564"
10/10/2018,"56.37","56.59","54.01","54.09","167,962,204"
10/09/2018,"55.91","56.82","55.56","56.72","107,564,116"
10/08/2018,"55.55","56.20","55.05","55.94","118,655,680"
10/05/2018,"56.99","57.10","55.15","56.07","134,321,844"
10/04/2018,"57.70","58.09","56.68","57.00","128,168,000"
10/03/2018,"57.51","58.37","57.45","58.02","114,619,204"
10/02/2018,"56.81","57.50","56.66","57.32","99,152,680"
10/01/2018,"56.99","57.36","56.59","56.82","94,403,204"
09/28/2018,"56.20","56.46","56.01","56.44","91,717,436"
09/27/2018,"55.96","56.61","55.89","56.24","120,724,920"
09/26/2018,"55.25","55.94","54.94","55.11","95,938,844"
09/25/2018,"54.94","55.71","54.93","55.55","98,217,524"
09/24/2018,"54.21","55.32","54.16","55.20","110,773,436"
09/21/2018,"55.20","55.34","54.32","54.42","384,987,000"
09/20/2018,"55.06","55.57","54.79","55.01","106,435,156"
09/19/2018,"54.63","54.91","53.83","54.59","108,495,320"
09/18/2018,"54.45","55.46","54.28","54.56","126,286,844"
09/17/2018,"55.54","55.74","54.32","54.47","148,780,516"
09/14/2018,"56.44","56.71","55.63","55.96","127,997,156"
09/13/2018,"55.88","57.09","55.64","56.60","166,825,516"
09/12/2018,"56.24","56.25","54.96","55.27","197,114,952"
09/11/2018,"54.50","56.07","54.14","55.96","142,996,188"
09/10/2018,"55.24","55.46","54.12","54.58","158,065,796"
09/07/2018,"55.46","56.34","55.18","55.33","150,479,236"
09/06/2018,"56.56","56.84","55.33","55.78","137,159,920"
09/05/2018,"57.25","57.42","56.28","56.72","133,331,844"
09/04/2018,"57.10","57.30","56.66","57.09","109,560,524"
08/31/2018,"56.63","57.22","56.50","56.91","173,360,516"
08/30/2018,"55.81","57.07","55.60","56.26","195,175,280"
08/29/2018,"55.04","55.87","54.85","55.75","109,019,204"
08/28/2018,"54.75","55.14","54.73","54.93","91,107,080"
08/27/2018,"54.29","54.69","54.08","54.49","82,100,476"
08/24/2018,"54.15","54.23","53.78","54.04","73,905,436"
08/23/2018,"53.66","54.26","53.65","53.87","75,532,884"
08/22/2018,"53.53","54.09","53.46","53.76","76,072,524"
08/21/2018,"54.20","54.30","53.51","53.76","104,639,040"
08/20/2018,"54.53","54.80","53.78","53.87","121,150,796"
08/17/2018,"53.36","54.49","53.29","54.40","141,708,000"
08/16/2018,"52.94","53.45","52.87","53.33","114,001,476"
08/15/2018,"52.31","52.69","52.08","52.56","115,230,244"
08/14/2018,"52.54","52.64","52.07","52.44","82,992,040"
08/13/2018,"51.93","52.74","51.93","52.22","103,563,524"
08/10/2018,"51.84","52.28","51.67","51.88","98,444,796"
08/09/2018,"51.82","52.45","51.80","52.22","93,970,524"
08/08/2018,"51.51","51.95","51.13","51.81","90,101,960"
08/07/2018,"52.33","52.38","51.69","51.78","102,349,564"
08/06/2018,"52.00","52.31","51.77","52.27","101,701,564"
08/03/2018,"51.76","52.19","51.37","52.00","133,789,592"
08/02/2018,"50.15","52.10","50.09","51.85","249,616,032"
08/01/2018,"49.78","50.44","49.33","50.38","271,742,876"
07/31/2018,"47.58","48.04","47.34","47.57","157,492,156"
07/30/2018,"47.98","48.05","47.27","47.48","84,118,156"
07/27/2018,"48.75","48.80","47.53","47.75","96,095,884"
07/26/2018,"48.65","48.99","48.40","48.55","76,303,844"
07/25/2018,"48.27","48.71","48.11","48.71","67,305,920"
07/24/2018,"48.11","48.42","48.01","48.25","74,791,600"
07/23/2018,"47.67","47.99","47.39","47.90","63,957,480"
07/20/2018,"47.95","48.11","47.54","47.86","82,824,156"
07/19/2018,"47.42","48.14","47.42","47.97","81,147,000"
07/18/2018,"47.95","47.95","47.48","47.60","65,573,524"
07/17/2018,"47.44","47.97","47.30","47.86","62,138,080"
07/16/2018,"47.88","48.16","47.60","47.73","60,172,440"
07/13/2018,"47.77","47.96","47.73","47.83","50,079,160"
07/12/2018,"47.38","47.85","47.33","47.76","72,164,524"
07/11/2018,"47.13","47.44","46.90","46.97","75,325,884"
07/10/2018,"47.68","47.82","47.55","47.59","63,756,600"
07/09/2018,"47.38","47.67","47.33","47.65","79,026,524"
07/06/2018,"46.36","47.11","46.30","46.99","69,941,000"
07/05/2018,"46.32","46.60","46.07","46.35","66,417,000"
07/03/2018,"46.95","46.99","45.89","45.98","55,819,240"
07/02/2018,"45.96","46.83","45.86","46.80","70,925,360"
06/29/2018,"46.57","46.80","45.73","46.28","90,950,680"
06/28/2018,"46.03","46.55","45.95","46.38","69,460,960"
06/27/2018,"46.31","46.82","46.01","46.04","101,141,320"
06/26/2018,"45.75","46.63","45.64","46.11","98,276,796"
06/25/2018,"45.85","46.23","45.18","45.54","126,652,400"
06/22/2018,"46.53","46.54","46.18","46.23","108,801,796"
06/21/2018,"46.81","47.09","46.24","46.37","102,847,600"
06/20/2018,"46.59","46.80","46.43","46.63","82,514,796"
06/19/2018,"46.29","46.58","45.86","46.42","134,313,844"
06/18/2018,"46.97","47.31","46.80","47.19","73,939,476"
06/15/2018,"47.51","47.54","47.07","47.21","246,876,640"
06/14/2018,"47.89","47.89","47.56","47.70","86,440,280"
06/13/2018,"48.11","48.22","47.61","47.68","86,553,564"
06/12/2018,"47.85","48.15","47.79","48.07","67,644,564"
06/11/2018,"47.84","47.99","47.55","47.81","73,233,844"
06/08/2018,"47.79","48.00","47.44","47.93","106,627,204"
06/07/2018,"48.54","48.55","48.08","48.37","85,388,720"
06/06/2018,"48.41","48.52","47.98","48.50","83,734,476"
06/05/2018,"48.27","48.49","48.09","48.33","86,263,844"
06/04/2018,"47.91","48.36","47.84","47.96","105,064,680"
06/01/2018,"47.00","47.57","46.94","47.56","93,770,040"
05/31/2018,"46.81","47.06","46.54","46.72","109,931,156"
05/30/2018,"46.93","47.00","46.70","46.88","74,762,204"
05/29/2018,"46.90","47.19","46.72","46.98","90,056,320"
05/25/2018,"47.06","47.41","46.91","47.15","69,843,844"
05/24/2018,"47.19","47.21","46.55","47.04","92,935,920"
05/23/2018,"46.59","47.13","46.44","47.09","80,233,680"
05/22/2018,"47.09","47.22","46.70","46.79","60,962,800"
05/21/2018,"47.00","47.32","46.73","46.91","73,603,156"
05/18/2018,"46.80","46.95","46.53","46.58","73,190,920"
05/17/2018,"47.00","47.23","46.59","46.75","69,176,116"
05/16/2018,"46.52","47.12","46.50","47.05","76,732,244"
05/15/2018,"46.70","46.77","46.28","46.61","94,780,640"
05/14/2018,"47.25","47.38","46.97","47.04","83,115,080"
05/11/2018,"47.37","47.52","46.86","47.15","104,848,884"
05/10/2018,"46.94","47.59","46.91","47.51","111,957,156"
05/09/2018,"46.64","46.85","46.31","46.84","92,844,960"
05/08/2018,"46.25","46.56","45.92","46.51","113,611,116"
05/07/2018,"46.30","46.92","46.19","46.29","169,805,688"
05/04/2018,"44.56","46.06","44.54","45.96","224,805,280"
05/03/2018,"43.97","44.38","43.61","44.22","136,272,720"
05/02/2018,"43.81","44.44","43.45","44.14","266,157,468"
05/01/2018,"41.60","42.30","41.32","42.28","214,277,516"
04/30/2018,"40.53","41.82","40.46","41.32","169,709,688"
04/27/2018,"41.00","41.08","40.16","40.58","142,623,360"
04/26/2018,"41.03","41.43","40.84","41.06","111,852,040"
04/25/2018,"40.66","41.36","40.60","40.91","113,528,320"
04/24/2018,"41.42","41.58","40.31","40.74","134,768,080"
