Date,Open,High,Low,Close,Volume
10/27/2020,"64.80","64.99","63.49","63.57","946,640"
10/26/2020,"67.35","67.49","63.94","64.74","1,982,266"
10/23/2020,"68.74","68.86","67.84","68.18","1,319,298"
10/22/2020,"70.42","70.42","67.78","68.78","1,014,289"
10/21/2020,"69.72","70.56","69.36","69.83","1,909,626"
10/20/2020,"70.13","70.39","69.37","69.41","750,271"
10/19/2020,"70.40","70.91","69.23","69.50","1,058,240"
10/16/2020,"70.82","71.21","70.12","70.15","1,516,879"
10/15/2020,"69.53","70.40","68.85","70.04","1,296,632"
10/14/2020,"70.75","71.45","70.28","70.65","1,053,098"
10/13/2020,"70.00","71.04","69.55","70.51","1,605,391"
10/12/2020,"68.65","69.51","68.50","69.25","791,762"
10/09/2020,"69.09","69.44","68.34","68.39","1,164,500"
10/08/2020,"67.50","69.23","67.44","68.66","2,481,099"
10/07/2020,"68.31","68.36","67.07","67.41","2,138,931"
10/06/2020,"68.09","68.88","67.20","67.48","1,922,555"
10/05/2020,"67.89","68.31","67.30","68.21","2,524,576"
10/02/2020,"65.89","67.63","65.72","67.16","1,001,401"
10/01/2020,"68.18","68.51","67.12","67.54","1,106,757"
09/30/2020,"68.39","68.88","67.17","67.69","1,665,599"
09/29/2020,"67.49","68.49","66.89","68.40","1,375,292"
09/28/2020,"66.81","67.64","66.47","67.31","1,917,843"
09/25/2020,"65.00","65.86","64.64","65.72","1,223,382"
09/24/2020,"65.13","65.97","64.35","65.37","1,625,140"
09/23/2020,"67.22","67.34","65.35","65.61","2,125,376"
09/22/2020,"66.12","66.34","64.97","66.31","1,089,097"
09/21/2020,"64.77","65.52","63.72","65.50","2,166,924"
09/18/2020,"66.63","67.16","65.82","66.37","11,088,840"
09/17/2020,"66.33","67.65","65.49","66.56","2,266,192"
09/16/2020,"67.67","68.56","67.33","67.37","2,214,643"
09/15/2020,"67.50","68.13","66.73","67.10","1,457,369"
09/14/2020,"67.00","67.78","66.48","66.85","2,127,582"
09/11/2020,"65.72","66.75","65.28","66.39","1,717,008"
09/10/2020,"67.08","67.32","65.04","65.44","2,009,039"
09/09/2020,"65.11","67.38","64.80","66.84","3,257,302"
09/08/2020,"63.05","65.58","62.71","64.15","2,956,230"
09/04/2020,"65.34","66.20","63.13","64.65","2,314,265"
09/03/2020,"67.12","67.67","64.40","65.54","2,030,081"
09/02/2020,"66.93","68.61","66.34","68.47","2,320,223"
09/01/2020,"66.42","66.84","65.71","66.37","2,306,039"
08/31/2020,"65.57","67.37","65.43","66.08","2,999,251"
08/28/2020,"65.53","67.62","64.80","66.21","9,113,065"
08/27/2020,"62.60","63.18","61.47","62.43","3,742,003"
08/26/2020,"61.82","62.27","60.84","62.13","2,077,800"
08/25/2020,"61.56","61.90","60.45","60.64","1,358,900"
08/24/2020,"61.90","62.20","61.16","61.56","1,279,339"
08/21/2020,"59.35","60.68","59.31","60.46","2,215,509"
08/20/2020,"59.76","59.96","59.32","59.66","966,336"
