Date,Open,High,Low,Close,Volume
10/26/2018,"1,048.33","1,117.00","1,042.23","1,083.75","5,321,883"
10/25/2018,"1,080.30","1,117.82","1,075.55","1,103.59","3,647,814"
10/24/2018,"1,115.00","1,116.62","1,055.06","1,057.12","2,464,295"
10/23/2018,"1,091.29","1,118.00","1,079.01","1,114.91","1,884,255"
10/22/2018,"1,112.51","1,121.69","1,100.00","1,111.37","1,355,842"
10/19/2018,"1,103.71","1,120.95","1,097.03","1,105.18","2,064,289"
10/18/2018,"1,130.00","1,132.35","1,086.34","1,097.91","2,307,596"
10/17/2018,"1,140.00","1,147.00","1,114.00","1,127.59","1,782,614"
10/16/2018,"1,113.48","1,136.37","1,111.75","1,133.08","1,918,879"
10/15/2018,"1,118.00","1,121.80","1,098.22","1,102.44","1,503,956"
10/12/2018,"1,119.64","1,125.83","1,095.03","1,120.54","2,468,920"
10/11/2018,"1,079.04","1,116.06","1,075.89","1,090.74","3,384,775"
10/10/2018,"1,136.40","1,137.02","1,091.51","1,092.16","2,949,006"
10/09/2018,"1,151.31","1,161.55","1,144.17","1,145.17","1,684,728"
10/08/2018,"1,160.00","1,175.86","1,135.40","1,155.92","2,309,539"
10/05/2018,"1,176.00","1,182.00","1,154.32","1,167.83","1,593,012"
10/04/2018,"1,205.03","1,205.90","1,163.85","1,177.07","2,328,778"
10/03/2018,"1,212.00","1,214.18","1,202.15","1,211.53","1,312,686"
10/02/2018,"1,206.67","1,224.52","1,199.66","1,207.64","2,008,956"
10/01/2018,"1,213.00","1,224.20","1,203.19","1,208.53","1,659,364"
09/28/2018,"1,204.09","1,208.45","1,197.83","1,207.08","1,780,759"
09/27/2018,"1,200.00","1,216.86","1,198.05","1,207.36","1,813,652"
09/26/2018,"1,193.69","1,207.24","1,185.40","1,194.06","1,882,524"
09/25/2018,"1,184.25","1,196.86","1,174.09","1,193.89","1,657,809"
09/24/2018,"1,159.41","1,185.19","1,151.50","1,179.56","1,557,479"
09/21/2018,"1,194.92","1,196.58","1,172.06","1,172.12","4,561,119"
