Date,Open,High,Low,Close,Volume
10/25/2019,"54.19","56.61","53.92","56.46","59,767,680"
10/24/2019,"52.09","52.43","51.43","52.23","25,654,061"
10/23/2019,"51.37","51.96","51.20","51.72","15,961,600"
10/22/2019,"51.90","52.32","51.89","52.01","13,347,320"
10/21/2019,"51.52","52.17","51.34","52.13","13,120,650"
10/18/2019,"51.75","51.82","51.03","51.36","16,975,160"
10/17/2019,"52.64","52.84","51.38","51.86","16,918,320"
10/16/2019,"52.35","52.56","52.12","52.45","15,173,070"
10/15/2019,"51.93","53.07","51.83","52.65","18,970,760"
10/14/2019,"51.90","51.95","51.44","51.64","16,425,529"
10/11/2019,"52.00","52.79","51.82","52.09","24,167,109"
10/10/2019,"50.41","51.78","50.40","51.11","14,611,660"
10/09/2019,"50.47","50.79","50.15","50.48","12,189,960"
10/08/2019,"50.16","50.48","49.61","49.73","17,884,430"
10/07/2019,"50.70","51.23","50.56","50.62","12,722,050"
10/04/2019,"50.35","50.97","50.03","50.92","12,748,070"
10/03/2019,"49.50","50.07","48.53","50.03","17,235,570"
10/02/2019,"50.31","50.37","48.98","49.39","21,437,000"
10/01/2019,"51.97","52.24","50.43","50.76","18,487,340"
09/30/2019,"51.19","51.60","50.94","51.53","14,059,200"
09/27/2019,"50.63","51.22","50.34","50.78","14,846,410"
09/26/2019,"50.98","51.15","50.34","50.92","11,482,110"
09/25/2019,"49.75","51.21","49.42","51.02","20,120,840"
09/24/2019,"51.10","51.18","49.64","49.82","28,472,930"
09/23/2019,"50.83","51.23","50.39","50.90","21,574,150"
09/20/2019,"51.60","51.88","50.56","50.72","38,632,500"
09/19/2019,"51.70","51.99","51.50","51.57","11,849,920"
09/18/2019,"52.13","52.13","51.16","51.74","15,029,860"
09/17/2019,"52.05","52.14","51.35","51.95","19,888,221"
09/16/2019,"51.90","52.29","51.70","52.20","13,354,590"
09/13/2019,"52.76","53.00","52.23","52.54","18,010,811"
09/12/2019,"53.00","53.33","52.07","53.01","23,308,711"
09/11/2019,"51.60","52.79","51.38","52.79","18,968,939"
09/10/2019,"51.33","51.84","50.83","51.82","18,532,029"
09/09/2019,"51.06","52.03","51.02","51.59","20,749,660"
09/06/2019,"50.25","50.99","50.07","50.92","17,067,939"
09/05/2019,"49.93","51.17","49.87","50.10","30,023,119"
09/04/2019,"47.56","48.95","47.54","48.92","23,472,109"
09/03/2019,"47.12","47.22","46.50","46.98","15,010,270"
08/30/2019,"47.24","47.79","47.16","47.41","16,923,150"
08/29/2019,"46.46","47.22","46.40","46.87","17,806,109"
08/28/2019,"45.70","45.91","45.37","45.79","14,895,350"
08/27/2019,"45.87","46.12","45.50","45.79","16,927,570"
08/26/2019,"45.82","45.82","45.25","45.56","22,086,631"
08/23/2019,"46.35","46.63","44.80","44.96","32,817,078"
08/22/2019,"47.28","47.43","46.69","46.78","19,785,891"
08/21/2019,"47.11","47.29","46.89","47.15","15,915,800"
08/20/2019,"47.03","47.12","46.46","46.60","23,115,320"
08/19/2019,"47.46","47.60","47.04","47.23","21,404,920"
08/16/2019,"46.34","46.68","46.06","46.50","23,335,689"
08/15/2019,"46.10","46.18","45.44","45.70","21,992,680"
08/14/2019,"46.06","46.63","45.65","45.87","25,650,221"
08/13/2019,"45.49","47.05","45.36","46.84","29,374,660"
08/12/2019,"45.76","46.07","45.44","45.60","18,494,301"
08/09/2019,"46.94","47.00","45.78","45.98","24,975,461"
