Date,Open,High,Low,Close,Volume
10/25/2019,"139.34","141.14","139.20","140.73","25,959,721"
10/24/2019,"139.39","140.42","138.67","139.94","37,278,398"
10/23/2019,"136.88","137.45","135.61","137.24","31,380,311"
10/22/2019,"138.97","140.01","136.26","136.37","27,935,270"
10/21/2019,"138.45","138.50","137.01","138.43","20,716,039"
10/18/2019,"139.76","140.00","136.56","137.41","32,284,430"
10/17/2019,"140.95","141.42","139.02","139.69","22,102,801"
10/16/2019,"140.79","140.99","139.53","140.41","20,841,689"
10/15/2019,"140.06","141.79","139.81","141.58","19,917,760"
10/14/2019,"139.69","140.29","139.52","139.55","13,591,640"
10/11/2019,"140.12","141.03","139.50","139.68","25,551,070"
10/10/2019,"138.49","139.67","138.25","139.10","18,396,609"
10/09/2019,"137.46","138.70","136.97","138.24","20,178,480"
10/08/2019,"137.08","137.76","135.62","135.67","26,783,340"
10/07/2019,"137.14","138.18","137.02","137.12","16,601,279"
10/04/2019,"136.75","138.25","136.42","138.12","23,839,551"
10/03/2019,"134.95","136.75","133.22","136.28","26,379,801"
10/02/2019,"136.25","136.37","133.58","134.65","32,001,760"
10/01/2019,"139.66","140.25","137.00","137.07","22,581,930"
09/30/2019,"138.05","139.22","137.78","139.03","18,430,391"
09/27/2019,"140.15","140.36","136.65","137.73","22,498,961"
09/26/2019,"139.44","140.18","138.44","139.54","17,813,510"
09/25/2019,"137.50","139.96","136.03","139.36","22,544,051"
09/24/2019,"140.36","140.69","136.88","137.38","30,016,670"
09/23/2019,"139.23","139.63","138.44","139.14","17,408,369"
09/20/2019,"141.01","141.65","138.25","139.44","40,040,770"
09/19/2019,"140.30","142.37","140.07","141.07","36,095,406"
09/18/2019,"137.36","138.67","136.53","138.52","24,473,391"
09/17/2019,"136.96","137.52","136.43","137.39","17,976,289"
09/16/2019,"135.83","136.70","135.66","136.33","16,731,439"
09/13/2019,"137.78","138.06","136.57","137.32","23,363,061"
09/12/2019,"137.85","138.42","136.87","137.52","27,009,980"
09/11/2019,"135.91","136.27","135.09","136.12","24,726,119"
09/10/2019,"136.80","136.89","134.51","136.08","28,903,381"
09/09/2019,"139.59","139.75","136.46","137.52","25,773,930"
09/06/2019,"140.03","140.18","138.20","139.10","20,824,500"
09/05/2019,"139.11","140.38","138.76","140.05","26,119,520"
09/04/2019,"137.30","137.69","136.48","137.63","18,015,311"
09/03/2019,"136.61","137.20","135.70","136.04","18,880,770"
08/30/2019,"139.15","139.18","136.27","137.86","23,946,119"
08/29/2019,"137.25","138.44","136.91","138.12","20,179,721"
08/28/2019,"134.88","135.76","133.55","135.56","17,410,830"
08/27/2019,"136.39","136.72","134.66","135.74","23,115,641"
08/26/2019,"134.99","135.56","133.90","135.45","20,325,270"
08/23/2019,"137.19","138.35","132.80","133.39","38,515,391"
08/22/2019,"138.66","139.20","136.29","137.78","18,709,660"
