Date,Open,High,Low,Close,Volume
10/25/2019,"270.68","277.77","270.18","276.82","4,747,829"
10/24/2019,"271.81","274.02","268.80","271.50","4,911,033"
10/23/2019,"268.06","273.92","266.63","271.27","7,154,430"
10/22/2019,"271.16","275.41","265.80","266.69","11,865,590"
10/21/2019,"272.89","279.94","269.00","278.05","12,633,960"
10/18/2019,"289.36","290.90","273.36","275.30","23,449,641"
10/17/2019,"304.49","308.75","288.30","293.35","38,462,340"
10/16/2019,"283.12","288.17","280.74","286.28","18,413,340"
10/15/2019,"283.82","285.87","279.40","284.25","7,728,161"
10/14/2019,"283.93","286.93","282.00","285.53","5,543,120"
10/11/2019,"284.80","287.87","275.89","282.93","8,817,301"
10/10/2019,"265.97","280.53","265.03","280.48","10,961,190"
10/09/2019,"270.02","271.00","264.57","267.53","6,843,488"
10/08/2019,"273.03","275.53","270.64","270.72","6,302,269"
10/07/2019,"271.99","276.68","271.28","274.46","6,796,811"
10/04/2019,"268.20","275.48","266.47","272.79","9,992,774"
10/03/2019,"267.78","268.84","257.01","268.15","9,068,810"
10/02/2019,"263.61","269.35","262.19","268.03","7,773,299"
10/01/2019,"267.35","272.20","264.03","269.58","8,786,284"
09/30/2019,"264.00","268.88","262.78","267.62","6,823,100"
09/27/2019,"266.18","267.44","260.39","263.08","7,367,491"
09/26/2019,"266.42","268.05","260.20","263.31","7,696,858"
09/25/2019,"255.71","266.60","253.70","264.75","11,846,750"
09/24/2019,"262.50","265.00","252.28","254.59","16,392,811"
09/23/2019,"268.35","273.39","261.89","265.92","13,610,290"
09/20/2019,"280.26","282.50","266.00","270.75","23,954,189"
09/19/2019,"291.56","293.81","283.40","286.60","8,545,761"
09/18/2019,"294.99","296.05","287.45","291.56","7,841,539"
09/17/2019,"294.50","299.15","291.79","298.60","4,817,119"
09/16/2019,"294.23","297.43","289.78","294.29","5,307,386"
09/13/2019,"290.61","296.62","290.04","294.15","6,583,124"
09/12/2019,"288.10","292.73","286.60","288.86","5,010,927"
09/11/2019,"285.70","292.65","284.61","288.27","7,405,949"
09/10/2019,"291.16","297.17","282.66","287.99","12,320,250"
09/09/2019,"294.81","301.55","290.60","294.34","8,232,744"
09/06/2019,"293.35","293.35","287.03","290.17","5,166,556"
09/05/2019,"285.32","293.97","282.79","293.25","8,972,356"
09/04/2019,"291.25","292.38","286.51","291.52","4,653,665"
09/03/2019,"290.82","293.90","288.06","289.29","3,684,177"
08/30/2019,"298.78","298.94","290.85","293.75","4,447,990"
08/29/2019,"295.00","299.93","294.99","296.78","4,392,532"
08/28/2019,"289.47","292.82","287.75","291.77","3,958,043"
08/27/2019,"294.54","296.77","287.20","291.03","6,314,559"
08/26/2019,"295.24","296.95","292.50","294.98","4,696,982"
08/23/2019,"295.00","299.01","290.32","291.44","6,331,189"
08/22/2019,"298.65","300.33","293.15","296.93","4,977,042"
08/21/2019,"301.61","302.88","296.20","297.81","5,689,746"
08/20/2019,"304.57","305.00","297.68","298.99","7,352,162"
08/19/2019,"306.25","311.75","304.75","309.38","4,951,733"
08/16/2019,"298.86","303.55","296.27","302.80","7,090,757"
08/15/2019,"299.50","300.63","288.00","295.76","9,683,384"
08/14/2019,"308.01","308.41","298.01","299.11","7,355,753"
08/13/2019,"309.77","316.43","308.16","312.28","5,338,761"
08/12/2019,"305.46","312.89","303.24","310.83","6,531,722"
08/09/2019,"313.74","316.64","305.68","308.93","5,349,059"
08/08/2019,"311.03","316.36","306.63","315.90","5,905,865"
08/07/2019,"302.56","305.00","296.81","304.29","9,322,433"
08/06/2019,"310.58","311.88","305.30","310.10","6,179,090"
08/05/2019,"310.96","313.42","304.68","307.63","8,692,485"
08/02/2019,"317.49","319.41","311.80","318.83","6,280,343"
08/01/2019,"324.25","328.58","318.74","319.50","6,563,156"
07/31/2019,"325.16","331.77","318.53","322.99","6,259,494"
07/30/2019,"329.20","329.65","323.23","325.93","6,029,320"
07/29/2019,"335.98","336.40","328.77","332.70","5,782,817"
07/26/2019,"328.79","336.00","327.50","335.78","10,847,500"
07/25/2019,"318.86","327.69","316.30","326.46","10,798,500"
07/24/2019,"310.51","319.99","307.25","317.94","11,961,820"
07/23/2019,"311.44","313.50","306.00","307.30","9,171,068"
07/22/2019,"312.00","314.54","305.81","310.62","17,725,330"
07/19/2019,"323.40","325.85","314.23","315.10","16,302,480"
07/18/2019,"323.76","329.85","320.30","325.21","31,305,900"
07/17/2019,"366.25","366.50","361.75","362.44","13,639,540"
07/16/2019,"370.09","371.34","364.92","365.99","5,863,222"
07/15/2019,"372.94","373.68","362.30","366.60","7,944,680"
07/12/2019,"378.68","379.74","372.79","373.25","6,636,937"
07/11/2019,"381.10","384.54","378.80","379.50","4,336,287"
07/10/2019,"382.77","384.34","377.40","381.00","5,878,790"
07/09/2019,"379.06","384.76","377.50","379.93","6,932,822"
07/08/2019,"378.19","378.25","375.36","376.16","3,113,402"
07/05/2019,"378.29","381.40","375.56","380.55","3,732,162"
07/03/2019,"376.69","381.99","375.84","381.72","3,799,009"
07/02/2019,"374.89","376.00","370.31","375.43","3,628,962"
07/01/2019,"373.50","376.66","372.00","374.60","5,001,518"
06/28/2019,"370.26","371.54","364.87","367.32","4,592,706"
06/27/2019,"363.20","370.85","363.20","370.02","4,138,575"
06/26/2019,"361.60","366.79","361.60","362.20","3,669,677"
06/25/2019,"370.75","371.00","358.29","360.30","5,750,383"
06/24/2019,"370.27","375.00","370.20","371.04","4,830,240"
06/21/2019,"365.00","371.45","365.00","369.21","7,448,356"
06/20/2019,"365.91","370.12","361.22","365.21","5,899,467"
06/19/2019,"361.72","364.74","356.12","363.52","5,667,156"
06/18/2019,"355.57","361.50","353.75","357.12","5,428,542"
06/17/2019,"342.69","351.77","342.06","350.62","5,358,219"
06/14/2019,"341.63","343.40","336.16","339.73","5,019,011"
06/13/2019,"347.23","348.50","339.25","343.43","6,209,347"
06/12/2019,"351.82","353.61","343.23","345.56","4,584,704"
06/11/2019,"355.00","357.58","348.50","351.27","5,396,712"
06/10/2019,"363.65","367.10","349.29","352.01","7,810,261"
06/07/2019,"357.39","365.15","355.69","360.87","4,777,321"
06/06/2019,"354.84","358.21","352.09","357.13","3,709,955"
06/05/2019,"354.38","357.88","348.71","355.73","5,020,081"
06/04/2019,"345.00","353.61","343.25","353.40","7,891,632"
06/03/2019,"343.56","347.66","332.65","336.63","7,849,589"
05/31/2019,"347.22","349.34","342.92","343.28","5,023,449"
05/30/2019,"350.55","354.21","348.30","351.85","4,008,042"
05/29/2019,"353.60","353.85","345.90","349.19","5,658,913"
05/28/2019,"354.39","361.20","353.64","354.78","4,717,144"
05/24/2019,"355.41","359.44","353.79","354.39","3,830,963"
05/23/2019,"355.50","357.42","347.70","352.21","5,630,443"
05/22/2019,"358.01","370.46","357.30","359.73","6,229,389"
