Date,Open,High,Low,Close,Volume
10/25/2019,"50.03","51.35","49.95","51.14","42,309,160"
10/24/2019,"49.19","49.55","48.85","49.22","23,903,732"
10/23/2019,"48.08","48.92","47.76","48.77","28,577,000"
10/22/2019,"49.58","50.63","48.83","48.90","33,736,912"
10/21/2019,"48.24","49.14","48.05","49.00","26,696,724"
10/18/2019,"48.58","48.91","46.88","47.62","30,762,420"
10/17/2019,"49.00","49.45","48.03","48.57","26,431,696"
10/16/2019,"48.75","49.81","48.44","48.55","43,275,320"
10/15/2019,"47.54","49.82","47.40","49.09","66,798,524"
10/14/2019,"46.41","46.84","46.10","46.63","21,033,576"
10/11/2019,"46.60","47.34","46.41","46.50","45,086,680"
10/10/2019,"45.16","46.27","45.10","45.76","32,751,556"
10/09/2019,"45.08","45.68","44.79","45.18","30,788,328"
10/08/2019,"45.16","45.16","44.13","44.31","44,934,280"
10/07/2019,"46.15","47.09","46.06","46.08","48,831,360"
10/04/2019,"45.35","45.79","44.70","45.49","26,796,020"
10/03/2019,"43.31","45.39","43.00","45.33","46,273,080"
10/02/2019,"43.28","43.40","42.53","43.26","29,566,176"
10/01/2019,"43.75","45.25","43.45","43.50","36,756,600"
09/30/2019,"43.20","43.62","42.89","43.52","19,319,908"
09/27/2019,"43.92","44.43","42.33","42.94","36,595,896"
09/26/2019,"44.46","44.55","43.82","44.34","23,782,592"
09/25/2019,"43.13","44.76","42.68","44.56","31,310,688"
09/24/2019,"44.03","44.32","42.78","43.13","32,124,180"
09/23/2019,"43.18","44.17","43.14","43.71","25,582,588"
09/20/2019,"44.23","44.46","43.07","43.17","35,725,180"
09/19/2019,"45.06","45.24","44.13","44.24","25,634,276"
09/18/2019,"45.20","45.36","44.13","45.00","26,403,768"
09/17/2019,"45.12","45.31","44.65","45.27","22,847,312"
09/16/2019,"44.73","45.40","44.63","45.05","23,183,184"
09/13/2019,"45.40","45.77","45.05","45.49","32,459,148"
09/12/2019,"46.55","47.10","45.99","46.07","32,784,100"
09/11/2019,"45.94","46.57","45.65","46.08","36,151,128"
09/10/2019,"44.80","46.06","44.70","45.80","35,281,220"
09/09/2019,"44.98","46.00","44.96","45.13","41,752,520"
09/06/2019,"44.70","45.27","44.28","44.66","37,697,676"
09/05/2019,"43.22","45.00","43.20","44.94","69,648,524"
09/04/2019,"41.65","42.27","41.65","42.19","22,812,036"
09/03/2019,"41.15","41.48","40.81","41.04","29,651,080"
08/30/2019,"42.22","42.72","41.70","41.88","29,090,848"
08/29/2019,"41.23","42.08","41.19","41.75","35,837,304"
08/28/2019,"40.15","40.84","39.75","40.31","25,582,812"
08/27/2019,"41.75","41.78","40.16","40.45","29,154,956"
08/26/2019,"41.40","41.65","40.98","41.36","31,859,416"
08/23/2019,"42.10","42.65","40.41","40.61","56,949,720"
08/22/2019,"42.91","43.33","42.48","42.87","30,375,672"
08/21/2019,"42.63","43.36","42.42","42.81","42,791,080"
08/20/2019,"42.64","42.65","41.76","41.97","46,352,160"
08/19/2019,"41.03","42.86","40.87","42.70","81,632,244"
08/16/2019,"39.84","40.39","39.22","39.89","101,538,524"
08/15/2019,"37.71","37.91","36.85","37.19","55,446,200"
08/14/2019,"38.13","38.24","37.08","37.52","41,988,120"
08/13/2019,"37.85","39.48","37.46","39.01","36,051,244"
08/12/2019,"38.02","38.55","37.64","37.86","27,920,048"
08/09/2019,"39.15","39.19","38.04","38.55","34,181,672"
08/08/2019,"39.05","39.58","38.48","39.57","30,929,888"
08/07/2019,"37.48","38.59","37.30","38.47","37,256,180"
08/06/2019,"38.45","38.91","37.61","38.09","36,127,068"
08/05/2019,"38.45","38.46","37.23","37.70","58,915,760"
08/02/2019,"40.30","41.00","39.82","40.30","42,834,920"
08/01/2019,"42.29","43.20","40.71","41.23","42,121,240"
07/31/2019,"43.55","43.55","41.76","42.18","35,941,564"
07/30/2019,"43.24","43.99","43.09","43.86","19,777,044"
07/29/2019,"43.70","43.87","42.82","43.71","24,816,196"
07/26/2019,"43.62","44.24","43.62","43.77","27,415,988"
07/25/2019,"44.25","44.38","43.11","43.35","39,269,812"
07/24/2019,"44.35","44.72","43.59","44.67","36,623,748"
07/23/2019,"43.23","43.94","43.07","43.92","42,817,640"
07/22/2019,"42.33","42.96","42.25","42.83","31,593,992"
07/19/2019,"42.93","43.00","42.05","42.11","34,489,580"
07/18/2019,"42.53","43.18","41.96","42.55","44,317,880"
07/17/2019,"41.79","42.50","41.49","42.43","34,820,428"
07/16/2019,"41.67","42.04","41.21","41.77","34,144,392"
07/15/2019,"42.12","42.28","41.53","41.82","28,983,972"
07/12/2019,"41.85","42.62","41.85","41.90","50,639,280"
07/11/2019,"40.75","41.98","40.38","41.57","68,255,844"
07/10/2019,"39.77","40.59","39.63","40.02","45,207,600"
07/09/2019,"38.88","39.61","38.75","39.33","34,286,048"
07/08/2019,"39.46","39.65","39.00","39.30","32,978,676"
07/05/2019,"40.10","40.15","39.42","40.06","39,655,388"
07/03/2019,"40.79","40.85","40.09","40.69","24,663,424"
07/02/2019,"41.38","41.59","40.43","40.56","40,022,760"
07/01/2019,"43.14","43.49","41.17","41.54","71,153,320"
06/28/2019,"41.25","41.34","40.59","41.06","39,766,636"
06/27/2019,"40.68","41.00","40.32","40.81","44,544,160"
06/26/2019,"39.15","40.43","39.02","39.82","58,407,320"
06/25/2019,"38.22","38.97","37.84","37.87","31,186,644"
06/24/2019,"38.16","38.46","37.68","38.17","28,294,872"
06/21/2019,"38.38","38.87","37.88","37.94","43,442,680"
06/20/2019,"39.19","39.33","38.38","38.53","35,016,728"
06/19/2019,"38.58","38.69","38.02","38.28","33,164,396"
06/18/2019,"36.88","38.78","36.77","38.22","58,191,800"
06/17/2019,"36.14","36.63","35.91","36.26","27,604,148"
06/14/2019,"36.13","36.37","35.71","36.16","39,442,624"
06/13/2019,"36.77","37.25","36.60","37.07","30,808,108"
06/12/2019,"37.25","37.31","36.40","36.55","35,889,192"
06/11/2019,"37.71","38.09","37.29","37.69","38,387,004"
06/10/2019,"36.94","37.80","36.94","37.11","40,278,080"
06/07/2019,"36.01","36.72","35.81","36.38","34,885,752"
06/06/2019,"35.36","36.19","35.34","35.95","40,813,840"
06/05/2019,"36.49","36.55","34.96","35.32","51,161,560"
06/04/2019,"34.09","35.80","33.87","35.75","64,183,560"
06/03/2019,"33.98","34.37","33.15","33.45","47,864,320"
05/31/2019,"34.29","34.61","33.85","33.87","38,971,968"
05/30/2019,"35.08","35.44","34.39","34.78","39,429,960"
05/29/2019,"35.35","35.71","34.74","35.09","55,980,160"
05/28/2019,"36.47","36.80","35.81","35.83","42,835,400"
05/24/2019,"37.02","37.38","36.22","36.29","35,758,528"
05/23/2019,"37.42","37.42","36.23","36.83","59,184,440"
05/22/2019,"38.38","38.64","37.94","38.05","32,586,960"
05/21/2019,"38.55","38.93","38.16","38.77","36,184,988"
05/20/2019,"38.14","38.69","37.69","37.94","57,206,520"
05/17/2019,"39.63","40.93","38.74","39.13","102,206,796"
05/16/2019,"39.84","40.48","39.41","40.05","78,108,796"
05/15/2019,"39.95","40.26","39.35","39.90","50,232,000"
05/14/2019,"40.01","40.87","39.62","40.51","52,487,880"
05/13/2019,"40.88","41.11","39.45","39.61","65,691,280"
05/10/2019,"42.24","42.90","41.00","42.21","56,949,800"
05/09/2019,"42.79","42.88","41.35","42.55","66,024,640"
05/08/2019,"43.00","44.29","42.88","43.48","41,916,600"
05/07/2019,"44.48","44.48","42.79","43.28","55,521,840"
05/06/2019,"43.88","45.09","43.50","44.96","42,217,800"
05/03/2019,"45.88","45.98","45.13","45.75","33,682,348"
05/02/2019,"45.22","46.22","44.78","45.80","39,468,540"
05/01/2019,"45.78","46.20","45.12","45.12","35,428,124"
04/30/2019,"44.51","45.51","44.32","45.25","36,292,160"
04/29/2019,"44.60","45.11","43.88","44.83","39,191,932"
04/26/2019,"45.18","45.22","43.33","44.52","86,898,920"
04/25/2019,"47.39","47.61","45.93","46.73","49,929,760"
04/24/2019,"47.77","48.20","47.16","47.79","31,820,480"
04/23/2019,"47.25","47.98","47.15","47.67","34,685,524"
04/22/2019,"46.34","47.28","46.02","47.12","27,993,552"
04/18/2019,"46.89","47.23","46.30","46.58","38,098,816"
04/17/2019,"47.41","47.62","46.60","46.82","35,100,272"
04/16/2019,"46.57","47.24","46.24","47.05","39,496,364"
04/15/2019,"47.43","47.48","45.78","46.18","44,009,400"
04/12/2019,"48.28","48.32","47.42","47.50","47,170,640"
04/11/2019,"48.05","48.37","47.39","47.89","37,460,148"
04/10/2019,"47.31","48.29","47.26","48.03","44,477,240"
04/09/2019,"47.61","47.72","46.89","47.32","43,997,280"
04/08/2019,"47.43","48.20","47.19","47.95","42,419,400"
04/05/2019,"47.50","47.91","47.13","47.74","48,174,600"
04/04/2019,"47.00","47.49","46.43","47.07","45,737,680"
04/03/2019,"46.25","47.75","46.20","47.16","78,877,884"
04/02/2019,"45.81","46.20","45.38","45.75","44,092,000"
04/01/2019,"45.82","45.88","45.09","45.57","48,382,440"
03/29/2019,"44.99","45.14","44.48","44.89","45,689,520"
03/28/2019,"44.39","44.98","43.78","44.31","48,026,400"
03/27/2019,"44.48","44.94","43.43","44.13","47,437,160"
03/26/2019,"44.87","45.44","43.65","44.22","70,350,720"
03/25/2019,"43.97","44.61","42.78","43.45","52,521,200"
03/22/2019,"45.71","46.20","44.24","44.38","74,764,360"
03/21/2019,"43.83","46.25","43.78","45.99","82,431,080"
03/20/2019,"44.22","44.76","43.25","43.60","71,914,884"
03/19/2019,"43.19","44.38","43.02","43.93","85,497,244"
03/18/2019,"42.77","43.31","41.96","42.24","48,699,320"
03/15/2019,"41.83","42.88","41.79","42.45","66,145,920"
03/14/2019,"42.25","42.37","41.31","41.39","51,938,520"
03/13/2019,"41.01","42.45","40.93","42.16","76,890,080"
03/12/2019,"40.57","41.10","39.80","40.63","57,957,480"
03/11/2019,"37.90","40.52","37.42","40.29","85,972,600"
03/08/2019,"36.42","37.77","36.20","37.66","42,241,480"
03/07/2019,"37.78","37.87","36.85","37.32","45,010,520"
03/06/2019,"39.04","39.13","37.99","38.01","40,352,600"
03/05/2019,"39.04","39.51","38.49","39.13","36,292,476"
03/04/2019,"39.50","39.73","38.63","39.20","40,999,000"
03/01/2019,"39.07","39.54","38.48","39.11","35,718,712"
02/28/2019,"38.75","38.98","38.34","38.57","32,494,260"
02/27/2019,"39.13","39.40","38.28","38.85","50,025,520"
02/26/2019,"39.63","40.19","38.94","39.28","48,846,280"
02/25/2019,"40.64","41.32","39.59","39.67","65,601,920"
02/22/2019,"39.47","39.99","39.33","39.80","40,174,120"
02/21/2019,"39.77","40.01","38.80","38.94","44,854,680"
02/20/2019,"39.46","40.32","39.34","39.64","54,098,960"
02/19/2019,"39.23","39.97","39.04","39.16","55,189,280"
02/15/2019,"40.74","40.97","39.11","39.34","151,674,908"
02/14/2019,"38.21","38.92","37.78","38.63","82,726,280"
02/13/2019,"38.09","38.96","37.95","38.22","60,537,200"
02/12/2019,"37.00","37.95","36.86","37.79","59,106,040"
02/11/2019,"36.60","37.15","36.13","36.61","49,518,080"
02/08/2019,"36.18","37.15","36.03","37.04","46,160,560"
02/07/2019,"37.78","37.81","36.42","36.86","63,712,000"
02/06/2019,"37.82","38.90","37.77","38.25","70,246,600"
02/05/2019,"37.42","37.86","37.08","37.49","54,242,520"
02/04/2019,"36.34","37.67","36.12","37.30","52,860,080"
02/01/2019,"36.13","36.70","35.65","36.18","62,504,720"
01/31/2019,"34.32","36.30","34.10","35.94","84,285,360"
01/30/2019,"33.67","34.49","32.87","34.35","97,422,960"
01/29/2019,"34.04","34.53","32.75","32.90","115,393,400"
01/28/2019,"34.14","35.41","32.75","34.50","251,152,672"
01/25/2019,"38.86","40.22","37.83","40.04","115,522,204"
01/24/2019,"38.18","39.64","38.13","39.46","70,897,040"
01/23/2019,"37.75","38.65","37.01","37.32","59,102,200"
01/22/2019,"38.93","39.05","36.89","37.19","66,155,116"
01/18/2019,"38.43","39.50","37.91","39.23","65,133,680"
01/17/2019,"36.88","38.33","36.60","37.93","49,343,640"
01/16/2019,"37.74","38.08","37.15","37.21","47,010,360"
01/15/2019,"37.94","38.34","37.28","37.47","61,701,000"
01/14/2019,"36.68","37.87","36.44","37.61","73,017,000"
01/11/2019,"36.08","37.44","35.80","37.21","87,476,280"
01/10/2019,"35.45","36.40","34.84","36.31","52,315,640"
01/09/2019,"35.48","36.12","34.97","35.65","61,725,920"
01/08/2019,"36.67","36.70","34.23","34.96","78,601,720"
01/07/2019,"34.63","36.22","34.11","35.85","70,915,920"
01/04/2019,"32.74","34.43","32.43","34.05","58,561,920"
01/03/2019,"33.45","33.79","31.92","32.00","70,555,156"
01/02/2019,"32.66","34.62","32.51","34.06","50,875,360"
12/31/2018,"33.85","34.18","33.07","33.38","46,514,000"
12/28/2018,"33.00","34.35","32.58","33.41","62,849,280"
12/27/2018,"32.75","33.10","31.30","32.79","63,704,320"
12/26/2018,"32.24","33.29","31.12","33.28","69,509,920"
12/24/2018,"31.62","32.49","31.13","31.77","46,383,920"
12/21/2018,"34.04","34.38","32.12","32.39","86,374,116"
12/20/2018,"34.54","35.45","33.17","33.78","74,958,796"
12/19/2018,"36.40","36.94","34.11","34.63","74,536,600"
12/18/2018,"36.34","37.58","36.06","36.74","56,437,000"
12/17/2018,"36.31","37.04","35.31","35.90","66,286,720"
12/14/2018,"36.80","37.65","36.38","36.61","47,182,120"
12/13/2018,"37.70","38.35","36.86","37.22","47,138,480"
12/12/2018,"37.11","38.20","36.21","37.23","65,413,600"
12/11/2018,"38.89","38.97","36.25","37.05","67,191,320"
12/10/2018,"36.45","38.21","36.41","37.97","62,947,360"
12/07/2018,"39.62","39.72","36.40","36.90","68,167,796"
12/06/2018,"37.86","39.62","37.70","39.57","69,230,960"
12/04/2018,"42.06","42.11","39.13","39.28","81,211,156"
12/03/2018,"43.15","43.67","41.84","42.51","89,080,436"
