Date,Open,High,Low,Close,Volume
10/26/2018,"83.22","85.66","82.18","83.37","13,969,410"
10/25/2018,"84.24","86.51","83.56","85.96","9,267,622"
10/24/2018,"87.04","87.69","83.01","83.09","14,754,550"
10/23/2018,"83.20","87.80","82.99","87.57","14,753,760"
10/22/2018,"84.86","86.23","83.57","85.43","11,254,760"
10/19/2018,"83.75","86.17","82.92","84.78","34,211,910"
10/18/2018,"80.17","80.44","77.36","77.48","19,748,529"
10/17/2018,"81.19","81.39","79.50","80.09","10,022,640"
10/16/2018,"78.85","80.91","78.46","80.61","10,059,960"
10/15/2018,"78.88","79.14","77.22","77.23","8,481,098"
10/12/2018,"79.12","79.60","77.79","79.03","14,131,410"
10/11/2018,"76.81","77.79","74.66","75.90","21,010,650"
10/10/2018,"79.61","79.91","75.32","75.45","16,920,250"
10/09/2018,"80.65","81.84","79.44","80.03","9,332,600"
10/08/2018,"82.62","82.89","78.65","80.55","16,872,160"
10/05/2018,"84.21","84.84","82.32","83.18","10,735,780"
10/04/2018,"86.39","86.50","83.54","84.34","9,078,341"
10/03/2018,"87.40","87.95","86.37","87.15","6,625,013"
10/02/2018,"87.27","87.35","85.83","86.68","6,488,198"
10/01/2018,"88.13","88.80","87.40","87.55","9,260,577"
09/28/2018,"88.79","89.05","87.60","87.84","7,920,916"
09/27/2018,"90.61","90.70","88.86","88.99","6,996,564"
09/26/2018,"90.34","90.93","89.70","89.85","5,936,191"
09/25/2018,"89.62","90.38","89.27","90.04","5,953,397"
09/24/2018,"89.95","90.26","88.26","89.62","8,303,272"
09/21/2018,"91.05","92.00","90.42","90.62","25,379,400"
09/20/2018,"89.84","90.78","89.19","90.60","6,562,065"
09/19/2018,"90.10","90.74","88.24","89.31","5,495,100"
09/18/2018,"88.71","90.09","88.71","89.72","5,820,686"
09/17/2018,"90.66","91.30","88.51","88.68","9,293,798"
09/14/2018,"92.25","92.68","90.68","90.78","9,342,821"
09/13/2018,"92.60","93.70","92.06","92.19","8,308,315"
09/12/2018,"91.53","92.46","90.21","92.40","7,213,519"
09/11/2018,"89.83","91.71","89.04","91.43","7,324,353"
09/10/2018,"89.43","89.99","88.56","89.80","5,465,965"
09/07/2018,"88.13","89.68","87.39","88.82","5,679,468"
09/06/2018,"89.18","89.56","88.06","89.00","6,840,606"
09/05/2018,"92.98","93.00","88.70","89.05","10,202,180"
09/04/2018,"91.94","93.44","91.62","93.07","6,466,717"
08/31/2018,"91.84","92.74","91.80","92.33","4,874,378"
08/30/2018,"92.29","93.01","91.71","92.09","7,146,558"
08/29/2018,"90.78","92.94","90.78","92.62","7,929,101"
08/28/2018,"90.10","90.85","89.68","90.61","4,643,751"
08/27/2018,"90.68","91.32","89.78","89.97","5,466,661"
08/24/2018,"87.95","90.13","87.95","90.10","7,403,855"
08/23/2018,"86.72","88.18","86.67","87.38","4,310,036"
08/22/2018,"86.00","87.16","85.63","86.95","4,265,905"
08/21/2018,"85.82","87.38","85.82","86.22","5,389,566"
08/20/2018,"85.74","86.00","84.90","85.75","4,102,976"
08/17/2018,"85.10","85.77","84.22","85.45","6,245,013"
08/16/2018,"85.85","85.90","84.87","85.32","5,967,213"
08/15/2018,"86.78","87.25","84.61","85.19","8,742,930"
08/14/2018,"87.37","87.83","86.48","87.73","6,107,398"
08/13/2018,"87.42","88.50","86.96","87.01","6,040,062"
08/10/2018,"86.55","88.03","86.01","87.01","5,796,458"
08/09/2018,"86.91","88.09","86.48","87.17","5,507,014"
08/08/2018,"86.23","87.10","85.86","86.74","3,889,380"
08/07/2018,"86.30","86.99","85.95","86.30","4,951,217"
08/06/2018,"85.19","86.10","84.90","85.77","5,702,760"
08/03/2018,"85.99","86.20","84.15","85.19","6,216,575"
08/02/2018,"82.95","85.59","82.85","85.53","8,327,178"
08/01/2018,"82.24","83.98","82.01","83.46","11,160,360"
07/31/2018,"82.51","83.32","81.30","82.14","13,462,210"
07/30/2018,"85.50","85.50","81.85","82.39","13,501,510"
07/27/2018,"89.50","90.28","84.75","85.46","14,903,400"
07/26/2018,"88.51","90.68","87.25","89.14","14,505,570"
07/25/2018,"91.13","92.35","91.01","91.37","12,050,440"
07/24/2018,"90.60","92.35","90.41","91.41","13,369,400"
07/23/2018,"87.14","89.60","85.82","89.24","11,759,670"
07/20/2018,"87.32","88.00","87.14","87.47","7,554,139"
07/19/2018,"88.00","88.59","87.16","87.38","5,612,878"
07/18/2018,"88.70","88.93","87.68","88.22","4,797,062"
07/17/2018,"87.25","88.72","86.59","88.58","5,086,126"
07/16/2018,"88.26","88.34","87.48","87.77","4,452,265"
07/13/2018,"89.00","89.10","86.83","87.99","6,110,637"
07/12/2018,"87.20","89.19","86.80","89.13","6,912,332"
07/11/2018,"85.47","86.86","85.07","86.25","4,153,183"
07/10/2018,"86.72","86.72","85.77","86.17","3,723,180"
07/09/2018,"86.60","86.90","85.35","86.23","5,683,472"
07/06/2018,"84.41","86.00","83.94","85.94","5,095,457"
07/05/2018,"83.64","84.64","83.30","84.59","5,287,716"
07/03/2018,"84.36","84.90","83.15","83.27","3,644,133"
07/02/2018,"82.75","83.96","82.06","83.89","4,929,447"
06/29/2018,"82.75","83.66","82.61","83.27","6,816,964"
06/28/2018,"80.39","82.83","80.16","82.48","7,374,725"
06/27/2018,"82.55","82.97","80.45","80.67","8,974,510"
06/26/2018,"82.68","83.21","81.77","82.32","6,742,177"
06/25/2018,"84.08","84.47","81.21","82.19","10,780,120"
06/22/2018,"86.32","86.56","84.61","85.12","7,503,397"
06/21/2018,"86.50","87.55","85.45","85.97","8,101,290"
06/20/2018,"84.86","86.97","84.82","85.95","9,174,942"
06/19/2018,"84.64","84.96","83.43","84.52","6,245,114"
06/18/2018,"84.84","86.20","84.44","85.85","5,579,359"
06/15/2018,"85.33","85.69","84.10","85.31","8,710,787"
06/14/2018,"85.50","86.30","85.21","85.61","6,643,352"
06/13/2018,"85.50","86.00","84.68","85.27","7,510,276"
06/12/2018,"83.93","86.20","83.88","85.02","9,216,898"
06/11/2018,"84.45","84.59","83.79","83.89","4,870,444"
06/08/2018,"83.23","84.49","83.15","84.34","7,430,930"
06/07/2018,"85.21","85.30","82.31","83.27","7,838,563"
06/06/2018,"85.05","85.61","84.50","85.21","7,867,161"
06/05/2018,"84.50","85.20","84.01","85.05","9,033,556"
06/04/2018,"83.23","84.80","82.77","84.57","7,423,686"
06/01/2018,"82.55","83.46","81.85","83.25","7,092,081"
05/31/2018,"81.81","82.83","81.55","82.07","8,250,136"
05/30/2018,"81.16","82.06","80.90","81.60","5,516,230"
05/29/2018,"80.71","81.34","80.20","80.73","6,924,208"
05/25/2018,"82.65","82.72","80.49","80.96","9,471,281"
05/24/2018,"80.91","83.06","79.66","81.55","11,696,830"
05/23/2018,"79.66","81.12","79.41","81.08","5,059,808"
05/22/2018,"81.39","81.61","80.28","80.62","5,188,282"
05/21/2018,"81.61","82.32","80.37","81.25","7,882,072"
05/18/2018,"79.90","81.94","79.82","80.79","14,626,890"
05/17/2018,"77.63","81.16","77.59","79.19","8,329,549"
05/16/2018,"77.50","78.54","77.28","77.82","5,350,161"
05/15/2018,"77.85","78.20","76.93","77.79","6,173,510"
05/14/2018,"79.14","79.65","78.44","78.81","5,821,169"
05/11/2018,"79.25","79.39","78.08","79.20","9,871,283"
05/10/2018,"77.39","79.26","77.25","79.19","11,541,350"
05/09/2018,"76.08","77.05","75.46","77.01","6,230,501"
05/08/2018,"74.62","75.94","74.44","75.72","6,267,169"
05/07/2018,"74.22","75.12","74.10","74.67","7,583,734"
05/04/2018,"73.19","74.44","72.23","73.99","7,470,794"
05/03/2018,"71.30","73.77","70.22","73.45","17,310,689"
05/02/2018,"75.00","75.71","71.21","71.73","17,710,750"
05/01/2018,"74.15","74.99","73.60","74.81","5,660,219"
04/30/2018,"74.00","75.02","73.69","74.61","9,444,449"
04/27/2018,"76.21","76.39","73.64","74.13","9,794,316"
04/26/2018,"76.32","77.62","75.49","76.03","13,625,290"
04/25/2018,"75.39","75.58","73.70","74.00","10,940,290"
04/24/2018,"78.90","79.40","75.08","75.28","9,186,611"
04/23/2018,"78.86","79.45","77.99","78.21","4,038,517"
04/20/2018,"79.22","79.87","78.30","78.73","6,265,267"
04/19/2018,"80.20","80.39","79.19","79.68","7,122,738"
04/18/2018,"80.10","80.89","79.32","80.34","5,943,689"
04/17/2018,"78.55","80.43","78.50","80.03","7,135,657"
04/16/2018,"77.88","78.50","77.19","77.80","5,101,377"
04/13/2018,"78.00","78.63","76.83","77.27","5,909,943"
04/12/2018,"76.80","77.99","76.61","77.46","5,034,799"
04/11/2018,"76.20","77.40","76.08","76.50","4,581,013"
04/10/2018,"76.51","77.31","75.80","76.79","6,217,464"
04/09/2018,"74.60","76.88","74.60","75.19","7,328,434"
04/06/2018,"75.52","76.40","73.70","73.86","8,179,131"
04/05/2018,"75.59","77.82","75.48","76.95","10,015,720"
04/04/2018,"73.00","75.06","72.52","74.78","8,230,790"
04/03/2018,"75.28","75.41","73.35","74.56","8,885,973"
04/02/2018,"75.23","76.30","74.01","75.00","11,417,690"
03/29/2018,"75.31","77.20","74.55","75.87","11,064,270"
03/28/2018,"75.70","76.75","74.74","75.06","14,370,330"
03/27/2018,"79.59","79.90","75.65","76.31","7,980,307"
03/26/2018,"77.98","79.17","77.03","78.95","8,682,648"
03/23/2018,"78.50","79.06","76.35","76.44","9,569,050"
03/22/2018,"79.81","80.12","78.46","78.56","9,608,364"
03/21/2018,"80.94","82.35","80.51","81.04","6,757,190"
03/20/2018,"80.18","81.19","80.05","80.86","7,388,075"
03/19/2018,"80.89","81.44","79.11","80.30","9,028,914"
03/16/2018,"82.80","83.23","81.27","82.16","8,356,179"
03/15/2018,"83.75","83.99","81.57","82.57","9,850,566"
03/14/2018,"80.74","83.50","80.64","83.31","14,281,120"
03/13/2018,"80.69","80.99","79.27","80.20","6,414,654"
03/12/2018,"80.75","81.17","80.35","80.60","6,607,596"
03/09/2018,"80.26","80.85","80.11","80.71","7,667,562"
03/08/2018,"79.85","80.49","79.53","79.87","6,878,581"
03/07/2018,"78.65","79.56","78.01","79.52","5,546,703"
03/06/2018,"79.33","79.95","78.85","79.23","7,477,760"
03/05/2018,"78.07","79.42","77.09","79.07","6,652,980"
03/02/2018,"77.52","79.11","76.93","78.87","9,426,242"
03/01/2018,"79.60","80.44","77.88","78.64","8,443,335"
02/28/2018,"79.90","82.17","79.39","79.41","10,799,510"
02/27/2018,"79.11","79.93","78.61","79.46","8,861,955"
02/26/2018,"80.00","80.05","78.98","79.35","7,130,682"
02/23/2018,"78.26","79.70","77.39","79.69","7,520,694"
02/22/2018,"76.80","78.37","76.77","77.70","6,632,292"
02/21/2018,"77.20","78.50","76.47","76.51","8,260,361"
02/20/2018,"77.70","78.54","76.66","77.06","6,875,391"
02/16/2018,"78.20","78.75","77.53","78.37","9,758,525"
02/15/2018,"78.01","78.30","76.58","78.30","9,311,008"
02/14/2018,"74.18","77.36","74.13","77.27","8,955,753"
02/13/2018,"74.81","75.60","74.55","74.97","7,743,645"
02/12/2018,"75.49","76.28","74.85","75.28","10,419,610"
02/09/2018,"73.14","75.27","71.63","74.75","14,339,370"
02/08/2018,"75.63","75.91","72.27","72.32","13,665,360"
02/07/2018,"75.35","77.58","74.94","75.59","11,988,020"
02/06/2018,"72.63","76.52","72.25","75.68","19,739,529"
02/05/2018,"75.95","78.98","74.68","74.71","18,810,641"
02/02/2018,"78.10","79.62","76.28","76.57","21,979,789"
02/01/2018,"79.95","80.95","76.70","78.40","44,271,648"
01/31/2018,"84.18","86.32","84.16","85.32","15,221,430"
01/30/2018,"83.00","84.17","82.00","83.78","7,864,528"
01/29/2018,"85.20","85.35","83.62","84.31","8,198,945"
01/26/2018,"84.46","85.49","84.04","85.45","7,840,318"
01/25/2018,"84.00","85.27","83.71","84.34","7,268,277"
01/24/2018,"84.52","85.29","82.71","83.71","8,735,746"
01/23/2018,"84.12","84.55","83.45","84.21","9,736,409"
01/22/2018,"84.00","84.21","83.22","83.98","7,560,451"
01/19/2018,"83.23","84.19","83.13","83.84","8,783,546"
01/18/2018,"82.43","83.44","81.61","82.94","7,395,055"
01/17/2018,"80.40","82.61","79.96","82.47","7,146,923"
01/16/2018,"80.95","81.80","79.94","80.42","9,596,634"
01/12/2018,"80.00","80.77","79.66","80.54","6,891,095"
01/11/2018,"79.45","79.87","78.91","79.75","6,267,464"
