Date,Open,High,Low,Close,Volume
10/27/2021,243.85,244.69,233.92,234.94,"19,043,910"
10/26/2021,249.45,249.88,241.01,243.0,"14,404,290"
10/25/2021,254.96,255.52,245.82,246.88,"23,046,730"
10/22/2021,243.73,246.66,239.75,240.4,"24,170,920"
10/21/2021,258.61,258.96,242.98,243.21,"42,508,930"
10/20/2021,273.0,273.51,253.1,258.36,"31,271,740"
10/19/2021,271.01,273.27,269.84,271.7,"3,985,909"
10/18/2021,266.39,270.44,264.71,270.33,"4,367,137"
10/15/2021,268.7,269.72,265.44,268.35,"5,007,867"
10/14/2021,261.5,267.41,260.2,266.45,"7,855,106"
10/13/2021,258.73,261.24,254.25,256.36,"6,024,050"
10/12/2021,256.0,257.97,253.78,255.85,"4,289,324"
10/11/2021,257.93,260.66,254.69,255.05,"5,031,650"
10/08/2021,264.96,265.47,259.8,260.06,"4,095,908"
10/07/2021,265.95,268.69,263.07,263.54,"5,276,445"
10/06/2021,256.29,264.39,256.03,264.06,"4,615,285"
10/05/2021,255.22,262.77,253.59,260.15,"6,326,587"
10/04/2021,261.84,262.57,251.59,255.01,"7,267,168"
10/01/2021,261.46,265.82,260.11,264.65,"4,560,448"
09/30/2021,259.65,263.47,258.73,260.21,"5,329,257"
09/29/2021,263.51,264.46,256.89,259.0,"6,829,064"
09/28/2021,269.9,271.44,261.68,262.19,"8,352,372"
09/27/2021,274.78,276.78,272.19,273.39,"4,614,852"
09/24/2021,276.02,278.33,274.69,278.11,"3,985,813"
09/23/2021,274.45,279.95,273.78,279.1,"5,409,581"
09/22/2021,270.46,273.47,266.5,272.34,"5,574,070"
09/21/2021,271.75,272.3,267.8,269.49,"4,326,076"
09/20/2021,271.55,273.0,265.68,269.91,"7,728,307"
09/17/2021,282.18,282.5,275.92,276.34,"8,117,226"
09/16/2021,281.04,283.69,280.39,282.97,"3,606,742"
09/15/2021,284.21,285.75,279.5,282.43,"4,056,783"
09/14/2021,281.84,283.17,279.71,282.24,"4,216,695"
09/13/2021,286.72,287.19,277.8,280.49,"4,836,471"
09/10/2021,288.6,289.0,284.11,284.32,"3,816,588"
09/09/2021,287.45,289.37,285.08,286.88,"4,169,970"
09/08/2021,296.55,296.7,283.33,285.23,"11,039,280"
09/07/2021,290.41,293.68,288.04,293.26,"6,789,751"
09/03/2021,285.03,290.38,284.4,289.13,"5,287,970"
09/02/2021,288.9,288.9,285.25,285.53,"4,647,112"
09/01/2021,290.1,290.9,286.36,286.75,"5,568,281"
08/31/2021,290.93,292.65,284.34,288.66,"8,911,799"
08/30/2021,279.61,290.41,279.08,288.47,"14,631,050"
08/27/2021,274.03,278.89,273.67,278.33,"3,916,952"
08/26/2021,277.89,278.68,273.52,273.62,"3,626,405"
08/25/2021,279.82,279.83,276.77,277.69,"4,392,583"
08/24/2021,278.93,279.58,276.51,279.51,"3,542,641"
08/23/2021,275.75,278.29,273.02,276.98,"5,507,500"
08/20/2021,269.54,273.94,269.54,272.96,"4,179,531"
08/19/2021,267.19,272.01,266.6,270.58,"5,119,910"
08/18/2021,271.01,272.77,268.48,268.84,"4,830,905"
08/17/2021,275.25,275.55,269.08,271.1,"7,966,077"
08/16/2021,273.73,279.19,273.56,278.28,"5,285,791"
08/13/2021,276.17,276.81,274.61,274.91,"4,097,209"
08/12/2021,274.25,276.81,273.06,274.59,"4,513,787"
08/11/2021,277.44,278.24,273.13,276.41,"5,785,928"
08/10/2021,278.94,280.49,272.5,274.37,"6,264,118"
08/09/2021,280.22,281.1,277.46,278.15,"3,822,996"
08/06/2021,280.0,282.37,276.87,279.54,"6,086,327"
08/05/2021,277.1,280.96,275.82,280.67,"7,354,195"
08/04/2021,274.07,276.09,270.67,275.5,"6,616,877"
08/03/2021,272.06,274.54,269.57,273.5,"8,323,049"
08/02/2021,276.89,276.89,270.43,270.99,"10,082,820"
07/30/2021,280.25,280.5,274.21,275.53,"11,693,280"
07/29/2021,285.37,289.0,281.6,283.17,"18,236,971"
07/28/2021,300.74,302.43,296.78,301.98,"9,184,958"
07/27/2021,305.5,306.34,294.89,300.48,"6,938,396"
07/26/2021,309.66,310.16,305.23,306.8,"3,805,925"
07/23/2021,305.76,309.48,304.2,308.53,"4,231,088"
07/22/2021,302.02,304.57,301.87,303.69,"3,601,476"
07/21/2021,296.49,301.83,296.2,301.77,"5,497,140"
07/20/2021,295.52,300.03,291.57,298.07,"5,424,096"
07/19/2021,292.35,295.07,288.81,294.85,"5,681,478"
07/16/2021,297.23,298.75,294.44,294.63,"4,268,899"
07/15/2021,300.86,301.18,294.14,296.51,"4,943,528"
07/14/2021,303.01,304.81,299.33,300.75,"4,848,213"
07/13/2021,302.19,307.82,298.75,301.19,"7,235,032"
07/12/2021,302.37,303.5,298.56,302.97,"5,455,983"
07/09/2021,296.41,300.83,295.0,300.21,"5,543,262"
07/08/2021,292.1,295.87,289.46,295.05,"5,911,952"
07/07/2021,294.9,299.31,291.91,297.13,"6,713,925"
07/06/2021,290.04,294.53,289.52,292.64,"5,043,522"
07/02/2021,290.94,292.43,288.92,290.24,"4,171,502"
07/01/2021,290.33,291.9,285.76,289.0,"5,652,486"
06/30/2021,291.53,292.7,289.51,291.48,"4,235,983"
06/29/2021,292.97,295.18,291.53,292.76,"4,333,201"
06/28/2021,290.85,294.26,289.78,293.65,"5,058,605"
06/25/2021,292.6,292.87,287.8,289.6,"6,616,873"
06/24/2021,290.18,296.01,289.64,293.21,"7,160,286"
06/23/2021,285.94,288.55,284.78,288.12,"4,966,741"
06/22/2021,281.7,287.46,280.22,286.75,"6,049,410"
06/21/2021,283.28,284.31,276.73,283.1,"7,287,754"
