Date,Open,High,Low,Close,Volume
10/27/2020,"248.00","251.75","245.77","250.30","4,285,593"
10/26/2020,"245.30","248.11","237.38","241.98","5,864,144"
10/23/2020,"250.10","250.57","246.81","250.52","3,159,644"
10/22/2020,"253.89","255.22","246.13","249.67","3,688,499"
10/21/2020,"256.45","258.31","251.85","254.23","2,794,023"
10/20/2020,"256.12","259.18","254.05","255.97","2,989,655"
10/19/2020,"259.76","261.48","254.50","255.01","3,242,263"
10/16/2020,"259.24","262.52","258.49","258.55","3,098,043"
10/15/2020,"258.11","260.52","254.02","257.72","5,262,379"
10/14/2020,"270.00","270.16","258.75","261.83","5,133,096"
10/13/2020,"266.42","268.79","264.23","266.83","3,713,230"
10/12/2020,"270.00","270.00","265.29","267.07","4,317,010"
10/09/2020,"262.90","266.05","261.50","265.98","4,225,023"
10/08/2020,"264.20","264.62","257.08","260.22","4,150,423"
10/07/2020,"252.20","260.74","252.20","259.98","4,963,168"
10/06/2020,"252.73","257.29","249.00","250.14","4,448,122"
10/05/2020,"250.00","253.28","249.00","251.53","3,403,534"
10/02/2020,"249.75","254.95","247.21","247.85","4,494,464"
10/01/2020,"253.18","254.67","250.81","253.45","4,318,011"
09/30/2020,"246.65","255.41","246.22","251.32","8,188,533"
09/29/2020,"245.26","247.90","244.50","247.45","4,009,932"
09/28/2020,"247.56","248.58","242.21","246.67","4,088,330"
09/25/2020,"237.39","243.95","235.05","242.74","5,117,842"
09/24/2020,"235.84","239.96","233.63","237.55","4,166,772"
09/23/2020,"248.49","248.77","235.35","235.99","7,507,921"
09/22/2020,"246.74","248.57","241.26","247.78","3,600,779"
09/21/2020,"238.97","245.13","236.80","245.05","5,561,603"
09/18/2020,"245.13","248.11","238.71","242.78","6,595,560"
09/17/2020,"246.12","248.82","241.31","244.53","5,279,535"
09/16/2020,"254.67","255.43","250.23","250.60","5,443,037"
09/15/2020,"251.37","251.94","248.51","251.68","4,133,574"
09/14/2020,"246.31","248.87","244.04","246.64","4,255,201"
09/11/2020,"250.72","251.30","239.45","243.10","5,455,231"
09/10/2020,"254.81","256.51","246.97","247.80","5,944,965"
09/09/2020,"246.40","253.45","242.96","250.43","9,988,571"
09/08/2020,"240.57","253.68","240.14","241.27","15,229,590"
09/04/2020,"262.98","265.67","243.20","254.70","14,374,290"
09/03/2020,"270.58","271.75","257.41","265.01","14,000,570"
09/02/2020,"283.47","284.50","268.57","276.69","12,963,780"
09/01/2020,"271.00","281.93","270.58","281.25","13,303,240"
08/31/2020,"270.00","274.71","265.91","272.65","16,010,100"
08/28/2020,"271.28","275.75","267.40","271.10","28,067,961"
08/27/2020,"267.00","278.28","260.84","276.32","22,817,090"
08/26/2020,"251.96","277.97","249.47","272.32","63,253,352"
08/25/2020,"213.22","218.35","210.80","216.05","27,096,461"
08/24/2020,"208.88","209.29","205.15","208.46","5,698,981"
08/21/2020,"209.94","210.00","206.25","207.53","5,727,827"
08/20/2020,"203.85","210.11","203.51","209.51","5,175,146"
08/19/2020,"204.00","207.10","200.03","205.11","7,080,746"
08/18/2020,"199.33","204.80","199.00","204.01","7,284,820"
08/17/2020,"195.34","197.07","194.42","196.74","3,574,549"
08/14/2020,"195.22","195.48","192.52","193.46","2,833,235"
08/13/2020,"193.32","198.07","193.23","195.14","4,711,598"
08/12/2020,"193.00","195.42","192.12","192.62","3,982,152"
08/11/2020,"193.62","195.84","191.72","191.99","5,015,367"
08/10/2020,"200.40","201.48","195.72","197.16","5,528,192"
08/07/2020,"206.62","206.94","198.58","201.05","5,423,414"
08/06/2020,"202.97","209.95","202.40","207.79","5,113,305"
08/05/2020,"202.80","203.90","201.58","202.64","3,615,762"
08/04/2020,"203.00","203.39","198.90","201.41","4,438,519"
08/03/2020,"197.80","204.79","196.57","203.19","6,561,007"
07/31/2020,"193.00","194.99","190.67","194.85","3,734,611"
07/30/2020,"190.09","191.92","187.37","191.70","3,587,429"
07/29/2020,"190.15","194.56","189.75","193.61","3,747,754"
07/28/2020,"191.00","192.97","189.05","189.50","3,114,398"
07/27/2020,"189.90","191.56","188.65","190.96","3,015,701"
07/24/2020,"186.06","188.94","184.38","188.49","3,908,386"
07/23/2020,"191.48","194.57","187.51","188.54","3,639,519"
07/22/2020,"190.78","191.87","188.87","191.31","2,833,242"
07/21/2020,"196.00","196.50","189.48","190.80","5,377,815"
07/20/2020,"187.90","195.31","187.27","195.09","5,728,974"
07/17/2020,"187.14","188.40","183.36","187.78","4,325,636"
07/16/2020,"186.42","186.86","181.93","185.51","7,350,001"
07/15/2020,"191.03","192.10","186.75","188.09","7,681,765"
07/14/2020,"185.99","189.96","183.30","189.56","5,854,719"
07/13/2020,"200.00","200.26","188.03","188.34","5,555,350"
07/10/2020,"200.06","200.73","197.08","198.88","3,783,209"
07/09/2020,"202.02","202.82","195.64","200.74","6,062,761"
07/08/2020,"198.00","201.20","197.35","200.28","4,233,731"
07/07/2020,"197.66","200.22","196.21","196.38","5,431,497"
07/06/2020,"194.44","199.45","193.84","197.72","5,794,241"
07/02/2020,"193.16","195.39","192.29","192.53","4,200,292"
07/01/2020,"188.10","192.82","187.46","191.89","4,754,613"
06/30/2020,"183.45","187.89","183.13","187.33","4,478,900"
06/29/2020,"183.32","183.71","180.00","183.33","3,972,149"
06/26/2020,"188.00","188.22","183.02","183.17","7,595,666"
06/25/2020,"186.14","188.77","184.44","188.34","4,022,421"
06/24/2020,"187.51","189.30","184.04","185.55","4,903,134"
06/23/2020,"192.00","194.09","188.59","189.06","6,950,841"
06/22/2020,"187.03","192.50","187.00","191.65","6,252,237"
06/19/2020,"189.50","191.25","185.49","186.95","11,840,970"
06/18/2020,"181.91","189.00","181.62","187.66","8,677,753"
06/17/2020,"180.97","182.75","180.68","181.40","5,038,626"
06/16/2020,"180.01","182.50","178.01","180.48","5,825,189"
06/15/2020,"172.00","178.90","171.27","178.61","6,001,846"
06/12/2020,"175.90","177.69","171.86","175.11","5,443,819"
06/11/2020,"176.64","178.43","172.00","172.05","6,521,167"
06/10/2020,"176.25","182.50","176.05","182.10","8,127,243"
06/09/2020,"176.00","176.00","173.53","174.56","4,025,596"
06/08/2020,"173.63","176.57","172.66","176.55","4,592,583"
06/05/2020,"170.11","174.19","167.00","173.88","8,232,167"
06/04/2020,"175.00","175.43","170.00","171.44","7,301,551"
06/03/2020,"174.83","175.93","172.84","174.99","6,004,048"
06/02/2020,"174.85","174.90","171.22","174.23","8,571,769"
06/01/2020,"173.10","177.52","172.68","176.36","5,719,312"
05/29/2020,"174.30","175.00","170.69","174.79","19,645,391"
05/28/2020,"180.00","184.80","177.10","181.10","10,363,610"
05/27/2020,"176.29","176.61","171.37","176.60","6,340,206"
05/26/2020,"182.00","182.00","176.22","176.52","8,353,577"
05/22/2020,"176.60","178.64","175.45","177.85","4,965,119"
05/21/2020,"176.93","178.29","174.93","175.26","4,429,652"
05/20/2020,"178.57","179.14","174.90","176.93","4,951,152"
05/19/2020,"172.75","178.20","172.75","176.04","5,264,042"
05/18/2020,"174.00","177.00","172.13","172.50","6,399,484"
05/15/2020,"167.27","171.72","166.18","171.33","5,673,821"
05/14/2020,"168.44","168.57","164.57","167.00","7,442,262"
05/13/2020,"175.17","175.21","166.27","169.64","12,534,950"
05/12/2020,"183.00","183.02","177.01","177.54","5,904,630"
05/11/2020,"175.56","183.30","174.16","182.67","8,695,960"
05/08/2020,"172.95","176.08","171.15","175.90","5,405,882"
05/07/2020,"166.50","171.27","166.02","169.90","6,461,957"
05/06/2020,"164.44","165.71","162.92","163.67","4,112,567"
05/05/2020,"162.53","164.14","160.25","163.25","5,264,761"
05/04/2020,"155.58","162.02","155.08","161.47","5,974,158"
05/01/2020,"158.49","160.17","155.26","156.37","4,277,134"
04/30/2020,"161.63","165.30","160.01","161.95","6,830,654"
04/29/2020,"157.88","161.89","156.52","160.43","5,256,730"
04/28/2020,"159.50","160.81","154.18","154.46","4,731,803"
04/27/2020,"155.54","158.44","154.20","157.63","5,036,448"
04/24/2020,"153.59","154.50","151.30","153.98","6,712,013"
04/23/2020,"153.50","156.47","151.50","151.72","6,281,430"
04/22/2020,"154.00","155.70","150.67","154.14","6,665,468"
04/21/2020,"160.00","160.09","148.00","150.56","13,737,880"
04/20/2020,"160.75","164.31","160.52","162.76","4,685,993"
04/17/2020,"160.00","163.26","157.63","162.62","7,312,872"
04/16/2020,"157.00","158.00","154.25","157.06","4,391,510"
04/15/2020,"155.08","157.27","154.00","155.63","4,042,624"
04/14/2020,"155.71","158.79","155.15","157.71","7,334,310"
04/13/2020,"154.12","155.31","150.00","152.50","5,138,591"
04/09/2020,"152.39","156.10","151.68","154.55","7,094,576"
04/08/2020,"146.30","152.16","145.00","151.12","7,665,521"
