Date,Open,High,Low,Close,Volume
10/25/2019,"316.72","321.36","309.12","317.45","2,253,941"
10/24/2019,"301.96","324.24","301.03","323.34","3,176,628"
10/23/2019,"298.21","309.77","291.06","297.14","2,373,326"
10/22/2019,"323.50","326.80","295.30","299.69","3,099,883"
10/21/2019,"317.00","326.56","311.61","319.73","1,806,773"
10/18/2019,"332.00","335.00","312.13","314.34","2,668,477"
10/17/2019,"326.50","333.92","324.00","331.34","1,688,520"
10/16/2019,"342.01","343.65","322.24","323.64","2,494,568"
10/15/2019,"347.10","349.44","343.70","346.08","2,040,040"
10/14/2019,"328.99","346.03","328.67","344.30","2,127,101"
10/11/2019,"330.87","337.33","324.46","329.26","2,271,153"
10/10/2019,"314.47","329.29","311.01","324.47","2,184,052"
10/09/2019,"313.50","316.71","311.67","313.85","1,460,351"
10/08/2019,"322.50","325.69","310.80","311.05","1,978,261"
10/07/2019,"326.82","331.57","322.16","326.32","1,410,814"
10/04/2019,"327.47","330.45","320.10","327.20","2,767,844"
10/03/2019,"311.44","326.60","304.18","325.57","3,147,099"
10/02/2019,"309.64","311.17","300.70","310.36","2,215,409"
10/01/2019,"311.66","320.00","308.80","313.22","2,018,093"
09/30/2019,"304.69","316.49","302.03","311.66","2,072,408"
09/27/2019,"314.00","316.40","301.71","305.69","2,192,135"
09/26/2019,"314.82","316.19","302.36","313.14","2,944,175"
09/25/2019,"292.00","315.83","286.07","314.60","5,501,279"
09/24/2019,"313.56","315.84","287.57","295.47","5,300,595"
09/23/2019,"317.78","325.47","310.71","313.26","2,500,963"
09/20/2019,"324.99","330.90","312.00","318.82","2,794,258"
09/19/2019,"328.34","331.85","321.22","325.00","1,800,522"
09/18/2019,"331.07","331.89","317.55","325.85","2,713,542"
09/17/2019,"324.59","334.73","323.43","328.82","5,553,598"
09/16/2019,"328.51","343.45","324.51","337.93","2,855,267"
09/13/2019,"356.53","357.50","337.64","338.31","2,676,578"
09/12/2019,"354.97","360.82","351.11","356.63","3,080,042"
09/11/2019,"338.40","350.70","336.10","347.51","3,215,184"
09/10/2019,"352.50","355.31","335.09","337.24","5,254,602"
09/09/2019,"384.02","384.02","350.33","358.67","4,518,103"
09/06/2019,"393.49","395.75","380.14","380.42","1,723,662"
09/05/2019,"387.70","393.00","380.38","392.72","2,222,446"
09/04/2019,"389.70","391.49","382.50","386.49","1,341,479"
09/03/2019,"384.00","392.80","380.20","383.91","1,979,601"
08/30/2019,"393.62","394.44","371.73","385.39","2,927,893"
08/29/2019,"402.25","403.00","391.71","391.71","2,411,182"
08/28/2019,"406.37","407.88","390.82","394.80","2,748,516"
08/27/2019,"402.70","409.61","398.50","406.99","2,808,261"
08/26/2019,"388.61","397.96","384.12","395.96","1,998,223"
08/23/2019,"387.99","401.16","381.25","382.75","2,912,799"
