Date,Open,High,Low,Close,Volume
10/26/2018,"70.71","73.31","68.90","71.12","16,771,820"
10/25/2018,"70.15","74.40","69.50","73.49","13,759,190"
10/24/2018,"74.07","75.21","69.10","69.34","15,587,860"
10/23/2018,"72.79","74.42","71.55","74.15","16,952,900"
10/22/2018,"74.80","76.35","72.28","75.72","15,948,050"
10/19/2018,"77.48","78.70","74.01","74.07","16,924,750"
10/18/2018,"76.19","77.57","73.60","74.96","15,367,970"
10/17/2018,"79.93","80.32","75.91","78.05","16,656,850"
10/16/2018,"76.50","79.10","73.86","78.72","23,256,369"
10/15/2018,"74.56","75.90","72.75","73.77","22,583,449"
10/12/2018,"76.25","76.38","71.52","73.97","38,121,512"
10/11/2018,"72.36","74.38","65.00","69.03","63,545,648"
10/10/2018,"86.74","86.90","76.90","77.45","32,581,900"
10/09/2018,"83.69","87.66","83.00","86.17","16,738,449"
10/08/2018,"92.40","92.64","83.55","86.06","30,365,080"
10/05/2018,"94.41","96.31","91.63","94.11","12,099,820"
10/04/2018,"96.99","97.06","92.30","94.49","13,896,310"
10/03/2018,"98.48","98.70","95.69","96.96","9,820,557"
10/02/2018,"97.66","100.42","97.25","97.83","11,894,950"
10/01/2018,"100.80","101.15","96.60","97.28","12,616,930"
09/28/2018,"97.36","100.39","97.07","99.01","15,268,210"
09/27/2018,"94.91","99.13","94.77","97.96","21,040,350"
09/26/2018,"97.46","98.47","94.05","94.65","25,510,949"
09/25/2018,"88.74","96.00","88.19","95.35","28,195,221"
09/24/2018,"83.90","87.13","81.53","86.04","8,152,089"
09/21/2018,"87.05","87.74","85.16","85.30","10,113,960"
09/20/2018,"85.98","87.32","84.82","86.51","9,195,778"
09/19/2018,"88.30","88.56","83.33","84.80","13,187,710"
09/18/2018,"87.94","89.38","87.06","87.99","10,583,020"
09/17/2018,"90.14","91.95","86.51","86.86","10,516,420"
09/14/2018,"90.26","91.29","89.31","90.82","7,278,501"
09/13/2018,"91.16","92.39","89.43","90.22","9,672,818"
09/12/2018,"92.29","92.40","88.40","90.44","12,707,890"
09/11/2018,"88.90","92.92","88.70","92.28","12,004,280"
09/10/2018,"90.34","90.83","87.79","89.39","10,223,460"
09/07/2018,"87.66","91.50","86.55","89.97","10,503,810"
09/06/2018,"87.83","89.80","86.70","88.54","12,523,570"
09/05/2018,"91.30","91.41","84.34","87.20","18,020,930"
09/04/2018,"88.74","91.64","87.76","91.25","13,753,250"
08/31/2018,"87.83","89.70","87.38","88.64","11,165,100"
08/30/2018,"85.72","89.22","85.50","87.76","20,083,760"
08/29/2018,"82.41","86.17","81.44","85.70","22,510,551"
08/28/2018,"78.84","81.41","78.62","80.80","11,452,010"
08/27/2018,"78.79","79.06","77.26","78.25","8,257,205"
08/24/2018,"77.84","78.47","77.45","78.18","7,050,599"
08/23/2018,"76.96","78.43","76.66","77.12","7,721,737"
08/22/2018,"75.19","76.83","74.75","76.44","6,827,755"
08/21/2018,"74.26","76.31","74.26","75.19","8,587,771"
08/20/2018,"72.95","74.40","72.01","74.26","7,076,703"
08/17/2018,"72.83","73.39","71.80","72.90","5,561,358"
08/16/2018,"73.40","73.43","71.60","72.76","8,180,411"
08/15/2018,"74.49","75.45","71.45","72.24","13,050,930"
08/14/2018,"73.67","75.15","73.48","74.97","10,883,340"
08/13/2018,"70.69","74.49","70.60","72.37","13,091,020"
08/10/2018,"69.22","72.23","68.90","70.60","13,376,610"
08/09/2018,"71.12","71.27","69.30","69.38","6,312,666"
08/08/2018,"70.85","71.10","69.55","70.82","5,008,557"
08/07/2018,"70.89","71.59","69.93","71.00","6,589,678"
08/06/2018,"69.61","71.00","68.74","70.92","10,876,050"
08/03/2018,"72.10","72.43","67.83","68.36","14,949,030"
08/02/2018,"65.25","72.82","64.22","72.65","20,831,930"
08/01/2018,"65.10","67.41","65.00","66.86","11,990,440"
07/31/2018,"65.88","66.80","63.21","64.65","10,692,310"
07/30/2018,"70.04","70.20","64.21","65.62","13,598,980"
07/27/2018,"72.48","73.19","68.76","69.85","8,700,981"
07/26/2018,"71.18","72.33","70.11","71.99","6,744,477"
07/25/2018,"69.73","72.53","69.63","72.53","8,309,289"
07/24/2018,"72.57","72.80","68.20","69.36","12,188,120"
07/23/2018,"70.50","72.21","69.65","71.60","7,059,718"
07/20/2018,"70.95","72.09","70.17","70.41","9,267,085"
07/19/2018,"69.40","71.32","68.85","70.32","11,981,310"
07/18/2018,"68.45","68.83","67.42","68.29","4,913,121"
07/17/2018,"66.57","68.67","66.37","68.33","6,293,097"
07/16/2018,"66.69","68.34","66.69","66.95","5,407,869"
07/13/2018,"67.03","67.28","65.50","66.97","7,686,604"
07/12/2018,"65.81","67.49","65.70","67.28","8,927,270"
07/11/2018,"64.29","65.84","64.12","65.33","5,857,122"
07/10/2018,"66.00","66.85","64.41","64.76","9,162,679"
07/09/2018,"67.30","67.50","64.85","66.48","9,067,762"
07/06/2018,"64.60","66.52","63.76","66.44","10,443,620"
07/05/2018,"62.55","64.43","62.28","64.15","7,670,960"
07/03/2018,"63.32","63.65","61.52","61.75","4,234,664"
07/02/2018,"60.47","63.23","60.26","63.14","5,427,128"
06/29/2018,"62.30","62.77","61.44","61.64","6,764,464"
06/28/2018,"61.02","61.83","59.40","61.55","11,836,910"
06/27/2018,"63.85","64.16","59.83","60.09","11,139,660"
06/26/2018,"62.03","63.40","61.11","62.55","13,168,860"
06/25/2018,"64.00","64.15","60.87","61.89","15,115,370"
06/22/2018,"68.17","68.17","65.11","65.75","11,540,480"
06/21/2018,"68.78","69.40","66.27","67.10","9,999,482"
06/20/2018,"66.59","68.97","66.55","67.59","12,382,530"
06/19/2018,"65.32","66.10","63.55","65.96","9,504,451"
06/18/2018,"64.15","66.44","63.88","66.20","10,488,280"
06/15/2018,"63.65","64.60","62.53","64.48","7,904,386"
06/14/2018,"63.20","64.85","63.20","63.88","11,913,140"
06/13/2018,"62.25","63.86","62.17","62.50","11,262,030"
06/12/2018,"61.77","64.08","61.65","63.21","9,585,627"
06/11/2018,"61.97","62.46","59.50","61.29","6,047,975"
06/08/2018,"60.58","62.04","60.19","61.78","8,300,920"
06/07/2018,"62.65","62.77","59.30","60.67","14,474,630"
06/06/2018,"61.60","62.83","61.08","62.72","8,590,945"
06/05/2018,"61.36","61.93","60.43","61.57","8,752,797"
06/04/2018,"60.49","61.49","59.71","61.20","10,717,890"
06/01/2018,"58.70","60.26","58.28","59.41","10,479,590"
05/31/2018,"58.00","58.90","57.60","58.25","7,980,874"
05/30/2018,"57.67","58.39","56.92","57.91","9,456,970"
05/29/2018,"56.00","57.84","55.89","56.92","10,247,300"
05/25/2018,"55.84","56.86","55.41","55.77","5,509,684"
05/24/2018,"55.00","55.84","54.76","55.55","7,574,112"
05/23/2018,"54.17","55.09","53.66","55.09","9,545,810"
05/22/2018,"56.40","56.62","54.49","54.63","9,693,795"
05/21/2018,"56.04","57.05","55.71","56.39","8,228,795"
05/18/2018,"53.54","55.33","53.00","55.04","10,012,170"
05/17/2018,"56.50","57.19","54.60","54.82","14,528,420"
05/16/2018,"54.78","56.72","54.46","56.59","10,878,770"
05/15/2018,"54.02","55.00","53.13","54.65","7,653,631"
05/14/2018,"55.05","56.08","54.05","54.28","10,681,870"
05/11/2018,"54.54","55.48","54.01","54.73","7,470,522"
05/10/2018,"54.52","55.50","53.86","54.65","10,628,750"
05/09/2018,"53.15","54.89","52.43","54.26","12,653,550"
05/08/2018,"51.21","53.68","50.24","53.32","18,013,420"
05/07/2018,"49.10","51.82","49.05","51.12","13,758,940"
05/04/2018,"48.30","49.67","48.15","49.10","10,442,060"
05/03/2018,"46.70","49.48","46.50","49.21","20,472,830"
05/02/2018,"48.34","50.00","48.30","48.66","18,113,330"
05/01/2018,"47.11","48.50","46.69","48.20","7,669,999"
04/30/2018,"47.70","48.92","45.76","47.34","16,758,051"
04/27/2018,"48.00","48.77","47.19","47.57","10,176,420"
04/26/2018,"46.11","47.37","45.60","46.74","10,236,850"
04/25/2018,"46.80","46.90","43.72","44.75","16,085,070"
04/24/2018,"50.35","50.35","45.31","46.01","18,383,859"
04/23/2018,"51.80","51.99","50.12","50.35","7,092,091"
04/20/2018,"50.89","52.50","50.66","51.46","9,079,211"
04/19/2018,"51.13","51.58","50.09","50.63","8,926,374"
04/18/2018,"49.34","51.68","48.76","51.38","11,145,530"
04/17/2018,"47.93","49.69","47.87","49.13","8,250,241"
04/16/2018,"47.78","47.90","46.37","47.03","7,414,688"
04/13/2018,"50.34","50.42","47.21","47.50","11,286,220"
04/12/2018,"48.45","50.14","48.15","49.69","10,479,900"
04/11/2018,"47.67","48.99","47.46","47.76","7,832,292"
04/10/2018,"46.99","47.88","46.50","47.80","8,741,130"
04/09/2018,"46.13","47.19","45.83","45.89","8,445,269"
04/06/2018,"47.50","47.65","44.94","45.87","14,184,760"
04/05/2018,"48.30","48.88","47.57","48.02","9,375,247"
04/04/2018,"45.46","47.84","45.16","47.67","10,540,070"
04/03/2018,"48.70","48.87","46.75","47.58","9,794,639"
04/02/2018,"48.88","49.37","47.02","47.68","11,918,440"
03/29/2018,"47.85","49.79","47.65","49.20","18,350,461"
03/28/2018,"50.40","50.40","46.14","47.39","27,553,939"
03/27/2018,"54.86","55.15","50.35","51.06","13,509,340"
03/26/2018,"53.05","53.66","51.11","53.55","11,332,750"
03/23/2018,"54.06","54.63","51.12","51.67","20,521,859"
03/22/2018,"56.77","56.77","54.27","55.16","15,704,050"
03/21/2018,"57.81","58.46","56.52","57.09","13,534,290"
03/20/2018,"54.39","58.07","54.30","57.69","17,238,240"
03/19/2018,"54.78","55.89","53.15","54.58","16,600,570"
03/16/2018,"54.52","55.05","53.90","54.89","10,818,320"
03/15/2018,"55.10","55.54","54.09","54.84","13,423,120"
03/14/2018,"53.20","54.84","53.20","54.61","22,043,000"
03/13/2018,"53.40","53.65","50.76","51.83","13,500,430"
03/12/2018,"52.62","53.79","52.10","53.19","12,482,060"
03/09/2018,"52.70","53.22","52.15","52.49","11,545,290"
03/08/2018,"50.72","52.97","50.70","52.25","16,961,320"
03/07/2018,"48.70","51.89","48.55","50.72","18,318,010"
03/06/2018,"49.55","50.01","47.81","49.60","20,827,150"
03/05/2018,"45.46","50.50","45.44","50.42","30,623,240"
03/02/2018,"45.34","46.12","45.01","46.02","11,010,490"
03/01/2018,"46.00","46.25","44.29","46.01","17,570,461"
02/28/2018,"45.90","48.00","45.55","46.05","24,022,039"
02/27/2018,"46.56","47.11","45.41","45.91","19,449,240"
02/26/2018,"45.50","46.85","45.25","46.55","13,615,250"
02/23/2018,"45.02","45.46","44.22","44.86","7,901,449"
02/22/2018,"44.37","45.00","44.01","44.90","7,078,201"
02/21/2018,"45.85","45.90","43.80","44.10","11,365,410"
02/20/2018,"44.56","46.44","44.36","44.93","15,746,960"
02/16/2018,"44.03","45.19","43.54","44.11","10,391,470"
02/15/2018,"42.30","45.04","42.22","44.29","19,642,260"
02/14/2018,"41.81","42.49","40.72","41.85","16,185,710"
02/13/2018,"39.85","42.68","39.74","42.11","13,293,850"
02/12/2018,"39.81","40.46","38.80","39.92","9,912,845"
02/09/2018,"39.97","40.57","36.76","39.57","18,780,029"
02/08/2018,"42.85","42.85","39.50","39.50","16,509,070"
02/07/2018,"42.01","42.79","41.50","41.67","11,060,630"
02/06/2018,"39.92","41.98","39.10","41.61","20,298,770"
02/05/2018,"42.04","44.23","40.12","41.02","16,631,590"
02/02/2018,"43.90","45.35","43.35","43.61","14,284,130"
02/01/2018,"45.75","46.71","44.02","44.45","15,925,080"
01/31/2018,"45.97","47.50","45.80","46.91","15,334,380"
01/30/2018,"44.42","45.94","42.56","45.52","10,229,310"
01/29/2018,"46.08","46.25","44.90","45.43","7,642,543"
01/26/2018,"45.50","46.25","44.85","45.97","11,110,110"
01/25/2018,"44.83","45.49","44.03","45.12","9,049,890"
01/24/2018,"45.22","45.82","43.04","44.32","13,960,530"
01/23/2018,"45.06","45.67","43.50","45.01","19,997,971"
01/22/2018,"42.80","45.44","42.76","45.29","27,197,420"
01/19/2018,"42.17","42.98","41.66","42.56","24,141,609"
01/18/2018,"40.29","41.13","40.02","40.27","9,836,363"
01/17/2018,"39.32","40.31","39.22","40.06","10,952,260"
01/16/2018,"41.15","41.25","38.67","39.32","17,333,859"
01/12/2018,"42.37","42.50","41.01","41.25","13,852,320"
01/11/2018,"41.03","43.08","41.03","42.30","21,023,561"
01/10/2018,"40.62","41.20","40.00","40.84","11,265,590"
01/09/2018,"40.45","41.48","39.22","40.88","14,710,920"
01/08/2018,"41.00","41.91","39.81","40.76","26,626,090"
01/05/2018,"38.39","41.15","38.19","41.14","31,102,010"
01/04/2018,"38.30","38.66","37.40","38.10","20,469,811"
01/03/2018,"36.43","37.36","36.05","37.31","11,617,850"
01/02/2018,"34.70","36.24","34.68","36.17","11,240,540"
12/29/2017,"34.79","35.08","34.38","34.67","10,462,310"
12/28/2017,"35.92","36.10","34.96","35.13","8,217,510"
12/27/2017,"35.01","36.09","35.01","35.75","9,559,542"
12/26/2017,"35.00","35.50","34.72","35.05","7,131,296"
12/22/2017,"35.07","35.33","34.14","35.14","14,382,350"
12/21/2017,"35.68","36.47","35.66","35.87","9,669,061"
12/20/2017,"36.98","37.04","35.58","35.66","14,012,000"
12/19/2017,"38.10","38.10","36.52","36.92","12,019,130"
12/18/2017,"37.41","38.00","37.22","37.75","11,897,340"
12/15/2017,"37.30","37.65","36.87","37.03","12,932,030"
12/14/2017,"35.85","37.54","35.80","37.01","20,939,471"
12/13/2017,"38.17","38.45","36.07","36.19","25,376,221"
12/12/2017,"38.07","39.64","37.93","38.08","18,834,100"
12/11/2017,"38.01","38.68","37.70","38.30","15,780,180"
12/08/2017,"39.61","39.79","37.94","38.09","20,917,820"
12/07/2017,"37.97","39.46","37.96","38.73","23,721,619"
12/06/2017,"38.47","39.77","37.27","37.61","28,820,439"
12/05/2017,"36.75","38.59","36.74","37.60","21,276,180"
12/04/2017,"38.41","38.69","35.90","36.87","29,566,930"
12/01/2017,"39.34","39.55","36.72","38.22","25,390,131"
11/30/2017,"39.27","40.78","38.82","39.22","39,352,699"
11/29/2017,"43.20","43.39","37.18","39.13","52,069,602"
11/28/2017,"39.89","44.05","39.50","42.55","56,515,898"
11/27/2017,"47.21","47.40","40.37","41.02","76,437,523"
11/24/2017,"48.61","49.56","48.11","48.86","16,562,670"
11/22/2017,"49.53","49.55","46.10","48.81","44,557,633"
11/21/2017,"46.00","48.24","45.70","48.06","28,904,551"
11/20/2017,"44.99","46.06","44.58","45.21","28,654,920"
11/17/2017,"42.49","45.74","42.44","44.18","39,206,539"
11/16/2017,"40.95","41.97","40.52","41.90","19,901,910"
11/15/2017,"41.15","41.80","40.17","40.66","20,676,000"
11/14/2017,"39.98","40.50","39.51","39.74","11,567,510"
11/13/2017,"39.13","40.19","38.31","39.98","14,398,360"
11/10/2017,"37.65","39.73","37.39","39.21","19,473,500"
11/09/2017,"36.45","38.01","34.83","37.96","23,511,430"
11/08/2017,"36.94","37.16","36.00","36.71","13,485,390"
11/07/2017,"37.69","37.69","36.29","36.76","10,536,690"
11/06/2017,"37.31","37.75","36.80","37.18","8,502,953"
11/03/2017,"36.23","36.98","35.91","36.89","6,615,572"
