Date,Open,High,Low,Close,Volume
10/27/2020,"423.76","430.50","420.10","424.68","22,686,510"
10/26/2020,"411.63","425.76","410.00","420.28","28,239,160"
10/23/2020,"421.84","422.89","407.38","420.63","33,716,980"
10/22/2020,"441.92","445.23","424.51","425.79","39,993,191"
10/21/2020,"422.70","432.95","421.25","422.64","32,370,461"
10/20/2020,"431.75","431.75","419.05","421.94","31,656,289"
10/19/2020,"446.24","447.00","428.87","430.83","36,287,840"
10/16/2020,"454.44","455.95","438.85","439.67","32,775,879"
10/15/2020,"450.31","456.57","442.50","448.88","35,672,352"
10/14/2020,"449.78","465.90","447.35","461.30","48,045,391"
10/13/2020,"443.35","448.89","436.60","446.65","34,463,672"
10/12/2020,"442.00","448.74","438.58","442.30","38,791,129"
10/09/2020,"430.13","434.59","426.46","434.00","28,925,660"
10/08/2020,"438.44","439.00","425.30","425.92","40,421,121"
10/07/2020,"419.87","429.90","413.85","425.30","43,127,711"
10/06/2020,"423.79","428.78","406.05","413.98","49,146,262"
10/05/2020,"423.35","433.64","419.33","425.68","44,722,793"
10/02/2020,"421.39","439.13","415.00","415.09","71,430,031"
10/01/2020,"440.76","448.88","434.42","448.16","50,741,449"
09/30/2020,"421.32","433.93","420.47","429.01","48,145,566"
09/29/2020,"416.00","428.50","411.60","419.07","50,341,398"
09/28/2020,"424.62","428.08","415.55","421.20","49,719,559"
09/25/2020,"393.47","408.73","391.30","407.34","67,208,461"
09/24/2020,"363.80","399.50","351.30","387.79","96,561,055"
09/23/2020,"405.16","412.15","375.88","380.36","95,074,180"
09/22/2020,"429.60","437.76","417.60","424.23","79,580,797"
09/21/2020,"453.13","455.68","407.07","449.39","109,476,797"
09/18/2020,"447.94","451.00","428.80","442.15","86,406,812"
09/17/2020,"415.60","437.79","408.00","423.43","76,779,156"
09/16/2020,"439.87","457.79","435.31","441.76","72,546,758"
09/15/2020,"436.56","461.94","430.70","449.76","97,298,234"
09/14/2020,"380.95","420.00","373.30","419.62","83,020,609"
09/11/2020,"381.94","382.50","360.50","372.72","60,717,461"
09/10/2020,"386.21","398.99","360.56","371.34","84,930,609"
09/09/2020,"356.60","369.00","341.51","366.28","79,465,766"
09/08/2020,"356.00","368.74","329.88","330.21","115,465,695"
09/04/2020,"402.81","428.00","372.02","418.32","110,321,906"
09/03/2020,"407.23","431.80","402.00","407.00","87,596,086"
09/02/2020,"478.99","479.04","405.12","447.37","96,176,125"
09/01/2020,"502.14","502.49","470.51","475.05","90,119,422"
08/31/2020,"444.61","500.14","440.11","498.32","118,374,398"
08/28/2020,"459.02","463.70","437.30","442.68","100,405,898"
08/27/2020,"436.09","459.12","428.50","447.75","118,465,193"
